entry_time,exit_time,entry_price,exit_price,pnl,result,bb_squeeze,atr_ratio,month,weekday_num,weekday,hour
2026-01-09 11:05:00,2026-01-09 11:30:00,45190.0,45350.0,160.0,TIME,,,2026-01,4,金,11
2026-01-09 11:10:00,2026-01-09 12:30:00,45200.0,45310.0,110.0,TIME,,,2026-01,4,金,11
2026-01-09 11:15:00,2026-01-09 12:35:00,45180.0,45330.0,150.0,TIME,,,2026-01,4,金,11
2026-01-09 11:30:00,2026-01-09 12:50:00,45350.0,45320.0,-30.0,TIME,,,2026-01,4,金,11
2026-01-13 09:40:00,2026-01-13 09:50:00,48940.0,48840.0,-100.0,SL,3.571,2.398,2026-01,1,火,9
2026-01-13 09:45:00,2026-01-13 09:50:00,49010.0,48910.0,-100.0,SL,3.189,2.22,2026-01,1,火,9
2026-01-14 09:35:00,2026-01-14 09:40:00,49650.0,49900.0,250.0,TP,2.548,1.718,2026-01,2,水,9
2026-01-14 09:40:00,2026-01-14 09:45:00,49910.0,49810.0,-100.0,SL,2.611,1.746,2026-01,2,水,9
2026-01-14 10:05:00,2026-01-14 10:30:00,49980.0,50070.0,90.0,TIME,1.974,1.608,2026-01,2,水,10
2026-01-14 10:10:00,2026-01-14 10:35:00,50090.0,50050.0,-40.0,TIME,1.888,1.584,2026-01,2,水,10
2026-01-14 10:35:00,2026-01-14 10:40:00,50050.0,49950.0,-100.0,SL,1.11,0.907,2026-01,2,水,10
2026-01-19 12:50:00,2026-01-19 13:15:00,48400.0,48420.0,20.0,TIME,0.968,0.711,2026-01,0,月,12
2026-01-22 09:35:00,2026-01-22 09:40:00,48300.0,48200.0,-100.0,SL,2.702,1.629,2026-01,3,木,9
2026-01-22 09:50:00,2026-01-22 10:00:00,48240.0,48140.0,-100.0,SL,2.209,1.594,2026-01,3,木,9
2026-01-22 10:25:00,2026-01-22 10:35:00,48540.0,48790.0,250.0,TP,1.232,0.851,2026-01,3,木,10
