entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month
2026-01-21 00:30:00+00:00,2026-01-21 00:30:00+00:00,52541.0,52570.0,29.0,29.0,TP,1,2026-01
2026-01-21 00:35:00+00:00,2026-01-21 00:35:00+00:00,52601.0,52630.0,29.0,29.0,TP,1,2026-01
2026-01-21 00:50:00+00:00,2026-01-21 00:50:00+00:00,52771.0,52758.0,-13.0,-13.0,SL,1,2026-01
2026-01-21 01:25:00+00:00,2026-01-21 01:25:00+00:00,52886.0,52873.0,-13.0,-13.0,SL,1,2026-01
2026-01-22 00:35:00+00:00,2026-01-22 00:35:00+00:00,53511.0,53498.0,-13.0,-13.0,SL,1,2026-01
2026-01-22 01:30:00+00:00,2026-01-22 01:30:00+00:00,53736.0,53723.0,-13.0,-13.0,SL,1,2026-01
2026-01-22 01:35:00+00:00,2026-01-22 01:35:00+00:00,53786.0,53815.0,29.0,29.0,TP,1,2026-01
2026-01-22 01:40:00+00:00,2026-01-22 01:40:00+00:00,53856.0,53843.0,-13.0,-13.0,SL,1,2026-01
2026-01-22 01:45:00+00:00,2026-01-22 01:45:00+00:00,53861.0,53848.0,-13.0,-13.0,SL,1,2026-01
2026-01-23 03:55:00+00:00,2026-01-23 03:55:00+00:00,54181.0,54168.0,-13.0,-13.0,SL,1,2026-01
2026-01-26 00:20:00+00:00,2026-01-26 00:20:00+00:00,53191.0,53178.0,-13.0,-13.0,SL,1,2026-01
2026-01-26 00:30:00+00:00,2026-01-26 00:30:00+00:00,53241.0,53228.0,-13.0,-13.0,SL,1,2026-01
2026-01-27 00:45:00+00:00,2026-01-27 00:45:00+00:00,53061.0,53048.0,-13.0,-13.0,SL,1,2026-01
2026-01-27 01:05:00+00:00,2026-01-27 01:05:00+00:00,53071.0,53058.0,-13.0,-13.0,SL,1,2026-01
2026-01-27 03:40:00+00:00,2026-01-27 03:40:00+00:00,53256.0,53243.0,-13.0,-13.0,SL,1,2026-01
2026-01-28 01:15:00+00:00,2026-01-28 01:15:00+00:00,53231.0,53218.0,-13.0,-13.0,SL,1,2026-01
2026-01-28 02:05:00+00:00,2026-01-28 02:05:00+00:00,53201.0,53230.0,29.0,29.0,TP,1,2026-01
2026-01-28 02:10:00+00:00,2026-01-28 02:10:00+00:00,53291.0,53278.0,-13.0,-13.0,SL,1,2026-01
2026-01-30 00:40:00+00:00,2026-01-30 00:40:00+00:00,53581.0,53568.0,-13.0,-13.0,SL,1,2026-01
2026-02-03 00:40:00+00:00,2026-02-03 00:40:00+00:00,54206.0,54193.0,-13.0,-13.0,SL,1,2026-02
2026-02-03 01:15:00+00:00,2026-02-03 01:15:00+00:00,54276.0,54263.0,-13.0,-13.0,SL,1,2026-02
2026-02-03 01:20:00+00:00,2026-02-03 01:20:00+00:00,54331.0,54318.0,-13.0,-13.0,SL,1,2026-02
2026-02-04 01:10:00+00:00,2026-02-04 01:10:00+00:00,54281.0,54310.0,29.0,29.0,TP,1,2026-02
2026-02-04 01:15:00+00:00,2026-02-04 01:15:00+00:00,54406.0,54393.0,-13.0,-13.0,SL,1,2026-02
2026-02-04 01:20:00+00:00,2026-02-04 01:20:00+00:00,54416.0,54445.0,29.0,29.0,TP,1,2026-02
2026-02-04 01:25:00+00:00,2026-02-04 01:25:00+00:00,54441.0,54428.0,-13.0,-13.0,SL,1,2026-02
2026-02-04 02:00:00+00:00,2026-02-04 02:00:00+00:00,54501.0,54488.0,-13.0,-13.0,SL,1,2026-02
2026-02-04 02:05:00+00:00,2026-02-04 02:05:00+00:00,54521.0,54508.0,-13.0,-13.0,SL,1,2026-02
2026-02-06 02:10:00+00:00,2026-02-06 02:10:00+00:00,53991.0,54020.0,29.0,29.0,TP,1,2026-02
2026-02-06 02:15:00+00:00,2026-02-06 02:15:00+00:00,54086.0,54073.0,-13.0,-13.0,SL,1,2026-02
2026-02-10 00:40:00+00:00,2026-02-10 00:40:00+00:00,57451.0,57438.0,-13.0,-13.0,SL,1,2026-02
2026-02-10 00:45:00+00:00,2026-02-10 00:45:00+00:00,57466.0,57453.0,-13.0,-13.0,SL,1,2026-02
