entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month
2026-01-21 00:30:00+00:00,2026-01-21 00:30:00+00:00,52530.0,52549.0,18.0,18.0,TP,1,2026-01
2026-01-21 00:35:00+00:00,2026-01-21 00:35:00+00:00,52590.0,52609.0,18.0,18.0,TP,1,2026-01
2026-01-21 00:50:00+00:00,2026-01-21 00:50:00+00:00,52760.0,52757.0,-4.0,-4.0,SL,1,2026-01
2026-01-21 01:25:00+00:00,2026-01-21 01:25:00+00:00,52875.0,52872.0,-4.0,-4.0,SL,1,2026-01
2026-01-22 00:35:00+00:00,2026-01-22 00:35:00+00:00,53500.0,53497.0,-4.0,-4.0,SL,1,2026-01
2026-01-22 01:30:00+00:00,2026-01-22 01:30:00+00:00,53725.0,53744.0,18.0,18.0,TP,1,2026-01
2026-01-22 01:35:00+00:00,2026-01-22 01:35:00+00:00,53775.0,53794.0,18.0,18.0,TP,1,2026-01
2026-01-22 01:40:00+00:00,2026-01-22 01:40:00+00:00,53845.0,53864.0,18.0,18.0,TP,1,2026-01
2026-01-22 01:45:00+00:00,2026-01-22 01:45:00+00:00,53850.0,53847.0,-4.0,-4.0,SL,1,2026-01
2026-01-23 03:55:00+00:00,2026-01-23 03:55:00+00:00,54170.0,54167.0,-4.0,-4.0,SL,1,2026-01
2026-01-26 00:20:00+00:00,2026-01-26 00:20:00+00:00,53180.0,53199.0,18.0,18.0,TP,1,2026-01
2026-01-26 00:30:00+00:00,2026-01-26 00:30:00+00:00,53230.0,53227.0,-4.0,-4.0,SL,1,2026-01
2026-01-27 00:45:00+00:00,2026-01-27 00:45:00+00:00,53050.0,53069.0,18.0,18.0,TP,1,2026-01
2026-01-27 01:05:00+00:00,2026-01-27 01:05:00+00:00,53060.0,53079.0,18.0,18.0,TP,1,2026-01
2026-01-27 03:40:00+00:00,2026-01-27 03:40:00+00:00,53245.0,53264.0,18.0,18.0,TP,1,2026-01
2026-01-28 01:15:00+00:00,2026-01-28 01:15:00+00:00,53220.0,53217.0,-4.0,-4.0,SL,1,2026-01
2026-01-28 02:05:00+00:00,2026-01-28 02:05:00+00:00,53190.0,53209.0,18.0,18.0,TP,1,2026-01
2026-01-28 02:10:00+00:00,2026-01-28 02:10:00+00:00,53280.0,53277.0,-4.0,-4.0,SL,1,2026-01
2026-01-30 00:40:00+00:00,2026-01-30 00:40:00+00:00,53570.0,53589.0,18.0,18.0,TP,1,2026-01
2026-02-03 00:40:00+00:00,2026-02-03 00:40:00+00:00,54195.0,54214.0,18.0,18.0,TP,1,2026-02
2026-02-03 01:15:00+00:00,2026-02-03 01:15:00+00:00,54265.0,54284.0,18.0,18.0,TP,1,2026-02
2026-02-03 01:20:00+00:00,2026-02-03 01:20:00+00:00,54320.0,54317.0,-4.0,-4.0,SL,1,2026-02
2026-02-03 01:25:00+00:00,2026-02-03 01:25:00+00:00,54350.0,54369.0,18.0,18.0,TP,1,2026-02
2026-02-03 01:30:00+00:00,2026-02-03 01:30:00+00:00,54380.0,54399.0,18.0,18.0,TP,1,2026-02
2026-02-03 01:40:00+00:00,2026-02-03 01:40:00+00:00,54450.0,54469.0,18.0,18.0,TP,1,2026-02
2026-02-03 01:45:00+00:00,2026-02-03 01:45:00+00:00,54465.0,54462.0,-4.0,-4.0,SL,1,2026-02
2026-02-03 02:25:00+00:00,2026-02-03 02:25:00+00:00,54320.0,54319.0,-2.0,-2.0,LUNCH,1,2026-02
