entry_time,exit_time,entry,exit,pnl,result,month
2026-01-21 00:30:00+00:00,2026-01-21 00:30:00+00:00,25157.75,25165.75,800.0,TP,2026-01
2026-01-21 00:35:00+00:00,2026-01-21 00:35:00+00:00,25163.25,25171.25,800.0,TP,2026-01
2026-01-21 00:40:00+00:00,2026-01-21 00:40:00+00:00,25177.25,25176.25,-100.0,SL,2026-01
2026-01-21 01:15:00+00:00,2026-01-21 01:15:00+00:00,25201.5,25200.5,-100.0,SL,2026-01
2026-01-21 01:25:00+00:00,2026-01-21 01:25:00+00:00,25211.75,25210.75,-100.0,SL,2026-01
2026-01-22 01:50:00+00:00,2026-01-22 01:50:00+00:00,25599.75,25598.75,-100.0,SL,2026-01
2026-01-23 01:55:00+00:00,2026-01-23 01:55:00+00:00,25680.0,25688.0,800.0,TP,2026-01
2026-01-23 02:00:00+00:00,2026-01-23 02:00:00+00:00,25686.75,25685.75,-100.0,SL,2026-01
2026-01-27 00:20:00+00:00,2026-01-27 00:20:00+00:00,25894.5,25893.5,-100.0,SL,2026-01
2026-01-27 01:35:00+00:00,2026-01-27 01:35:00+00:00,25916.5,25915.5,-100.0,SL,2026-01
2026-01-27 02:10:00+00:00,2026-01-27 02:10:00+00:00,25945.75,25944.75,-100.0,SL,2026-01
2026-01-28 00:40:00+00:00,2026-01-28 00:40:00+00:00,26197.0,26205.0,800.0,TP,2026-01
2026-01-28 00:45:00+00:00,2026-01-28 00:45:00+00:00,26207.0,26206.0,-100.0,SL,2026-01
2026-01-28 01:05:00+00:00,2026-01-28 01:05:00+00:00,26214.75,26222.75,800.0,TP,2026-01
2026-01-28 01:10:00+00:00,2026-01-28 01:15:00+00:00,26222.0,26221.0,-100.0,SL,2026-01
2026-02-03 00:25:00+00:00,2026-02-03 00:25:00+00:00,25970.25,25978.25,800.0,TP,2026-02
2026-02-04 02:05:00+00:00,2026-02-04 02:05:00+00:00,25449.0,25457.0,800.0,TP,2026-02
2026-02-04 02:10:00+00:00,2026-02-04 02:10:00+00:00,25471.0,25470.0,-100.0,SL,2026-02
2026-02-04 03:40:00+00:00,2026-02-04 03:40:00+00:00,25447.25,25446.25,-100.0,SL,2026-02
2026-02-05 01:40:00+00:00,2026-02-05 01:40:00+00:00,25145.0,25144.0,-100.0,SL,2026-02
2026-02-06 01:40:00+00:00,2026-02-06 01:40:00+00:00,24437.25,24445.25,800.0,TP,2026-02
2026-02-06 01:45:00+00:00,2026-02-06 01:45:00+00:00,24480.75,24488.75,800.0,TP,2026-02
2026-02-06 01:50:00+00:00,2026-02-06 01:50:00+00:00,24498.75,24506.75,800.0,TP,2026-02
2026-02-06 01:55:00+00:00,2026-02-06 01:55:00+00:00,24525.5,24533.5,800.0,TP,2026-02
2026-02-06 02:00:00+00:00,2026-02-06 02:00:00+00:00,24531.0,24539.0,800.0,TP,2026-02
2026-02-06 02:05:00+00:00,2026-02-06 02:05:00+00:00,24564.5,24563.5,-100.0,SL,2026-02
2026-02-11 01:50:00+00:00,2026-02-11 01:50:00+00:00,25321.75,25320.75,-100.0,SL,2026-02
2026-02-11 02:20:00+00:00,2026-02-11 02:20:00+00:00,25321.5,25329.5,800.0,TP,2026-02
2026-02-11 02:25:00+00:00,2026-02-11 02:25:00+00:00,25326.25,25320.25,-600.0,LUNCH,2026-02
2026-02-12 01:35:00+00:00,2026-02-12 01:35:00+00:00,25292.5,25300.5,800.0,TP,2026-02
2026-02-12 01:40:00+00:00,2026-02-12 01:40:00+00:00,25301.0,25309.0,800.0,TP,2026-02
2026-02-18 02:10:00+00:00,2026-02-18 02:10:00+00:00,24758.25,24757.25,-100.0,SL,2026-02
2026-02-19 01:05:00+00:00,2026-02-19 01:10:00+00:00,24977.0,24985.0,800.0,TP,2026-02
2026-02-19 01:10:00+00:00,2026-02-19 01:10:00+00:00,24981.75,24989.75,800.0,TP,2026-02
2026-02-19 01:15:00+00:00,2026-02-19 01:15:00+00:00,24989.5,24988.5,-100.0,SL,2026-02
2026-02-20 00:15:00+00:00,2026-02-20 00:15:00+00:00,24887.5,24886.5,-100.0,SL,2026-02
2026-02-20 00:35:00+00:00,2026-02-20 00:35:00+00:00,24906.5,24905.5,-100.0,SL,2026-02
2026-02-20 01:15:00+00:00,2026-02-20 01:15:00+00:00,24931.0,24930.0,-100.0,SL,2026-02
2026-02-24 01:45:00+00:00,2026-02-24 01:45:00+00:00,24828.25,24827.25,-100.0,SL,2026-02
