rule,entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month,weekday,hour_jst
rule1_pullback_break,2025-12-30 09:46:00,2025-12-30 09:46:00,50416.0,50395.0,-21.0,-21.0,SL,1,2025-12,Tuesday,9
rule1_pullback_break,2026-01-06 10:25:00,2026-01-06 10:25:00,52251.0,52260.0,9.0,9.0,TP,1,2026-01,Tuesday,10
rule1_pullback_break,2026-01-08 11:02:00,2026-01-08 11:02:00,51766.0,51745.0,-21.0,-21.0,SL,1,2026-01,Thursday,11
rule1_pullback_break,2026-01-08 11:08:00,2026-01-08 11:08:00,51806.0,51785.0,-21.0,-21.0,SL,1,2026-01,Thursday,11
rule1_pullback_break,2026-01-12 10:09:00,2026-01-12 10:09:00,54026.0,54005.0,-21.0,-21.0,SL,1,2026-01,Monday,10
rule1_pullback_break,2026-01-12 11:19:00,2026-01-12 11:19:00,53926.0,53905.0,-21.0,-21.0,SL,1,2026-01,Monday,11
rule1_pullback_break,2026-01-16 11:17:00,2026-01-16 11:17:00,53966.0,53945.0,-21.0,-21.0,SL,1,2026-01,Friday,11
rule1_pullback_break,2026-01-19 11:29:00,2026-01-19 11:29:00,53461.0,53429.0,-32.0,-32.0,LUNCH,1,2026-01,Monday,11
rule1_pullback_break,2026-01-21 09:18:00,2026-01-21 09:18:00,52416.0,52395.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule1_pullback_break,2026-01-21 09:46:00,2026-01-21 09:46:00,52621.0,52600.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule1_pullback_break,2026-01-21 09:52:00,2026-01-21 09:52:00,52686.0,52665.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule1_pullback_break,2026-01-22 09:47:00,2026-01-22 09:47:00,53471.0,53450.0,-21.0,-21.0,SL,1,2026-01,Thursday,9
rule1_pullback_break,2026-01-22 09:53:00,2026-01-22 09:53:00,53446.0,53425.0,-21.0,-21.0,SL,1,2026-01,Thursday,9
rule1_pullback_break,2026-01-22 11:08:00,2026-01-22 11:08:00,53841.0,53820.0,-21.0,-21.0,SL,1,2026-01,Thursday,11
rule1_pullback_break,2026-01-27 09:45:00,2026-01-27 09:45:00,52986.0,52965.0,-21.0,-21.0,SL,1,2026-01,Tuesday,9
rule1_pullback_break,2026-01-27 11:08:00,2026-01-27 11:08:00,53001.0,52980.0,-21.0,-21.0,SL,1,2026-01,Tuesday,11
rule1_pullback_break,2026-01-27 11:17:00,2026-01-27 11:17:00,53006.0,52985.0,-21.0,-21.0,SL,1,2026-01,Tuesday,11
rule1_pullback_break,2026-01-28 09:26:00,2026-01-28 09:26:00,52991.0,52970.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule1_pullback_break,2026-01-28 11:09:00,2026-01-28 11:09:00,53146.0,53155.0,9.0,9.0,TP,1,2026-01,Wednesday,11
rule1_pullback_break,2026-01-28 12:38:00,2026-01-28 12:38:00,53201.0,53180.0,-21.0,-21.0,SL,1,2026-01,Wednesday,12
rule1_pullback_break,2026-01-30 09:50:00,2026-01-30 09:50:00,53481.0,53460.0,-21.0,-21.0,SL,1,2026-01,Friday,9
rule1_pullback_break,2026-02-04 11:06:00,2026-02-04 11:06:00,54481.0,54460.0,-21.0,-21.0,SL,1,2026-02,Wednesday,11
rule1_pullback_break,2026-02-06 09:34:00,2026-02-06 09:34:00,53456.0,53435.0,-21.0,-21.0,SL,1,2026-02,Friday,9
rule1_pullback_break,2026-02-10 09:46:00,2026-02-10 09:46:00,57411.0,57390.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule1_pullback_break,2026-02-10 09:50:00,2026-02-10 09:50:00,57436.0,57415.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule1_pullback_break,2026-02-10 09:53:00,2026-02-10 09:53:00,57501.0,57480.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule1_pullback_break,2026-02-11 10:16:00,2026-02-11 10:16:00,58286.0,58295.0,9.0,9.0,TP,1,2026-02,Wednesday,10
rule1_pullback_break,2026-02-12 11:13:00,2026-02-12 11:13:00,57771.0,57750.0,-21.0,-21.0,SL,1,2026-02,Thursday,11
rule1_pullback_break,2026-02-12 12:43:00,2026-02-12 12:43:00,57786.0,57765.0,-21.0,-21.0,SL,1,2026-02,Thursday,12
rule1_pullback_break,2026-02-13 10:18:00,2026-02-13 10:18:00,57201.0,57180.0,-21.0,-21.0,SL,1,2026-02,Friday,10
rule1_pullback_break,2026-02-17 10:48:00,2026-02-17 10:48:00,56591.0,56570.0,-21.0,-21.0,SL,1,2026-02,Tuesday,10
rule1_pullback_break,2026-02-18 09:19:00,2026-02-18 09:19:00,57116.0,57125.0,9.0,9.0,TP,1,2026-02,Wednesday,9
rule1_pullback_break,2026-02-18 10:21:00,2026-02-18 10:21:00,57116.0,57095.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule1_pullback_break,2026-02-19 09:42:00,2026-02-19 09:42:00,57586.0,57565.0,-21.0,-21.0,SL,1,2026-02,Thursday,9
rule1_pullback_break,2026-02-19 09:51:00,2026-02-19 09:51:00,57641.0,57620.0,-21.0,-21.0,SL,1,2026-02,Thursday,9
rule1_pullback_break,2026-02-24 09:28:00,2026-02-24 09:28:00,57021.0,57000.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule1_pullback_break,2026-02-24 10:41:00,2026-02-24 10:41:00,57301.0,57310.0,9.0,9.0,TP,1,2026-02,Tuesday,10
rule1_pullback_break,2026-02-25 09:16:00,2026-02-25 09:16:00,58011.0,57990.0,-21.0,-21.0,SL,1,2026-02,Wednesday,9
rule1_pullback_break,2026-02-25 10:36:00,2026-02-25 10:36:00,58151.0,58130.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule1_pullback_break,2026-02-25 12:51:00,2026-02-25 12:51:00,58541.0,58550.0,9.0,9.0,TP,1,2026-02,Wednesday,12
rule1_pullback_break,2026-02-27 09:22:00,2026-02-27 09:22:00,58511.0,58490.0,-21.0,-21.0,SL,1,2026-02,Friday,9
rule1_pullback_break,2026-02-27 12:53:00,2026-02-27 12:53:00,58876.0,58855.0,-21.0,-21.0,SL,1,2026-02,Friday,12
rule1_pullback_break,2026-03-02 09:51:00,2026-03-02 09:51:00,57766.0,57745.0,-21.0,-21.0,SL,1,2026-03,Monday,9
rule1_pullback_break,2026-03-02 12:40:00,2026-03-02 12:40:00,58021.0,58000.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule1_pullback_break,2026-03-04 10:03:00,2026-03-04 10:03:00,55161.0,55140.0,-21.0,-21.0,SL,1,2026-03,Wednesday,10
rule1_pullback_break,2026-03-05 10:07:00,2026-03-05 10:07:00,56621.0,56600.0,-21.0,-21.0,SL,1,2026-03,Thursday,10
rule1_pullback_break,2026-03-06 11:16:00,2026-03-06 11:16:00,55366.0,55345.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule1_pullback_break,2026-03-06 11:23:00,2026-03-06 11:23:00,55471.0,55450.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule1_pullback_break,2026-03-06 11:29:00,2026-03-06 11:29:00,55491.0,55479.0,-12.0,-12.0,LUNCH,1,2026-03,Friday,11
rule1_pullback_break,2026-03-09 10:18:00,2026-03-09 10:18:00,52021.0,52000.0,-21.0,-21.0,SL,1,2026-03,Monday,10
rule1_pullback_break,2026-03-09 10:34:00,2026-03-09 10:34:00,51916.0,51895.0,-21.0,-21.0,SL,1,2026-03,Monday,10
rule1_pullback_break,2026-03-10 10:10:00,2026-03-10 10:10:00,54501.0,54480.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule1_pullback_break,2026-03-10 10:49:00,2026-03-10 10:49:00,54591.0,54600.0,9.0,9.0,TP,1,2026-03,Tuesday,10
rule1_pullback_break,2026-03-11 10:18:00,2026-03-11 10:18:00,55466.0,55445.0,-21.0,-21.0,SL,1,2026-03,Wednesday,10
rule1_pullback_break,2026-03-11 12:38:00,2026-03-11 12:38:00,55621.0,55600.0,-21.0,-21.0,SL,1,2026-03,Wednesday,12
rule1_pullback_break,2026-03-11 12:40:00,2026-03-11 12:40:00,55661.0,55640.0,-21.0,-21.0,SL,1,2026-03,Wednesday,12
rule1_pullback_break,2026-03-12 09:44:00,2026-03-12 09:44:00,54426.0,54405.0,-21.0,-21.0,SL,1,2026-03,Thursday,9
rule1_pullback_break,2026-03-12 10:33:00,2026-03-12 10:33:00,54621.0,54600.0,-21.0,-21.0,SL,1,2026-03,Thursday,10
rule1_pullback_break,2026-03-12 12:37:00,2026-03-12 12:37:00,53931.0,53910.0,-21.0,-21.0,SL,1,2026-03,Thursday,12
rule1_pullback_break,2026-03-13 10:05:00,2026-03-13 10:05:00,53566.0,53575.0,9.0,9.0,TP,1,2026-03,Friday,10
rule1_pullback_break,2026-03-16 12:40:00,2026-03-16 12:40:00,53281.0,53290.0,9.0,9.0,TP,1,2026-03,Monday,12
rule1_pullback_break,2026-03-18 09:16:00,2026-03-18 09:16:00,54366.0,54345.0,-21.0,-21.0,SL,1,2026-03,Wednesday,9
rule1_pullback_break,2026-03-18 11:13:00,2026-03-18 11:13:00,54566.0,54545.0,-21.0,-21.0,SL,1,2026-03,Wednesday,11
rule1_pullback_break,2026-03-19 10:56:00,2026-03-19 10:56:00,53561.0,53540.0,-21.0,-21.0,SL,1,2026-03,Thursday,10
rule1_pullback_break,2026-03-20 09:59:00,2026-03-20 09:59:00,53041.0,53050.0,9.0,9.0,TP,1,2026-03,Friday,9
rule1_pullback_break,2026-03-23 09:18:00,2026-03-23 09:18:00,51136.0,51115.0,-21.0,-21.0,SL,1,2026-03,Monday,9
rule1_pullback_break,2026-03-25 09:15:00,2026-03-25 09:15:00,53556.0,53565.0,9.0,9.0,TP,1,2026-03,Wednesday,9
rule1_pullback_break,2026-03-25 09:29:00,2026-03-25 09:29:00,53631.0,53610.0,-21.0,-21.0,SL,1,2026-03,Wednesday,9
rule1_pullback_break,2026-03-25 12:36:00,2026-03-25 12:36:00,53311.0,53290.0,-21.0,-21.0,SL,1,2026-03,Wednesday,12
rule1_pullback_break,2026-03-27 10:10:00,2026-03-27 10:10:00,52471.0,52480.0,9.0,9.0,TP,1,2026-03,Friday,10
rule1_pullback_break,2026-03-27 10:39:00,2026-03-27 10:39:00,52806.0,52785.0,-21.0,-21.0,SL,1,2026-03,Friday,10
rule1_pullback_break,2026-03-27 11:08:00,2026-03-27 11:08:00,52896.0,52875.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule1_pullback_break,2026-03-27 11:11:00,2026-03-27 11:11:00,52916.0,52895.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule1_pullback_break,2026-03-31 09:43:00,2026-03-31 09:43:00,51011.0,51020.0,9.0,9.0,TP,1,2026-03,Tuesday,9
rule1_pullback_break,2026-04-01 12:43:00,2026-04-01 12:43:00,53391.0,53370.0,-21.0,-21.0,SL,1,2026-04,Wednesday,12
rule1_pullback_break,2026-04-02 09:54:00,2026-04-02 09:54:00,54231.0,54210.0,-21.0,-21.0,SL,1,2026-04,Thursday,9
rule1_pullback_break,2026-04-03 09:15:00,2026-04-03 09:15:00,53506.0,53485.0,-21.0,-21.0,SL,1,2026-04,Friday,9
rule1_pullback_break,2026-04-03 10:23:00,2026-04-03 10:23:00,53321.0,53300.0,-21.0,-21.0,SL,1,2026-04,Friday,10
