rule,entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month,weekday,hour_jst
rule2_ma_trend,2025-12-30 10:44:00,2025-12-30 10:44:00,50511.0,50490.0,-21.0,-21.0,SL,1,2025-12,Tuesday,10
rule2_ma_trend,2025-12-30 10:45:00,2025-12-30 10:45:00,50526.0,50530.0,4.0,4.0,TP,1,2025-12,Tuesday,10
rule2_ma_trend,2025-12-30 12:31:00,2025-12-30 12:31:00,50561.0,50540.0,-21.0,-21.0,SL,1,2025-12,Tuesday,12
rule2_ma_trend,2025-12-30 12:32:00,2025-12-30 12:32:00,50566.0,50545.0,-21.0,-21.0,SL,1,2025-12,Tuesday,12
rule2_ma_trend,2026-01-05 10:23:00,2026-01-05 10:23:00,51816.0,51820.0,4.0,4.0,TP,1,2026-01,Monday,10
rule2_ma_trend,2026-01-05 10:24:00,2026-01-05 10:24:00,51826.0,51830.0,4.0,4.0,TP,1,2026-01,Monday,10
rule2_ma_trend,2026-01-05 10:33:00,2026-01-05 10:33:00,51866.0,51845.0,-21.0,-21.0,SL,1,2026-01,Monday,10
rule2_ma_trend,2026-01-05 10:35:00,2026-01-05 10:35:00,51881.0,51860.0,-21.0,-21.0,SL,1,2026-01,Monday,10
rule2_ma_trend,2026-01-06 10:31:00,2026-01-06 10:31:00,52341.0,52320.0,-21.0,-21.0,SL,1,2026-01,Tuesday,10
rule2_ma_trend,2026-01-06 12:31:00,2026-01-06 12:31:00,52316.0,52295.0,-21.0,-21.0,SL,1,2026-01,Tuesday,12
rule2_ma_trend,2026-01-06 12:32:00,2026-01-06 12:32:00,52331.0,52310.0,-21.0,-21.0,SL,1,2026-01,Tuesday,12
rule2_ma_trend,2026-01-07 09:15:00,2026-01-07 09:15:00,52436.0,52415.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule2_ma_trend,2026-01-08 11:03:00,2026-01-08 11:03:00,51786.0,51765.0,-21.0,-21.0,SL,1,2026-01,Thursday,11
rule2_ma_trend,2026-01-12 12:35:00,2026-01-12 12:35:00,53941.0,53920.0,-21.0,-21.0,SL,1,2026-01,Monday,12
rule2_ma_trend,2026-01-12 12:39:00,2026-01-12 12:39:00,53961.0,53940.0,-21.0,-21.0,SL,1,2026-01,Monday,12
rule2_ma_trend,2026-01-12 12:40:00,2026-01-12 12:40:00,53986.0,53965.0,-21.0,-21.0,SL,1,2026-01,Monday,12
rule2_ma_trend,2026-01-14 09:26:00,2026-01-14 09:26:00,54136.0,54115.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule2_ma_trend,2026-01-14 10:09:00,2026-01-14 10:09:00,54446.0,54425.0,-21.0,-21.0,SL,1,2026-01,Wednesday,10
rule2_ma_trend,2026-01-14 11:17:00,2026-01-14 11:17:00,54501.0,54480.0,-21.0,-21.0,SL,1,2026-01,Wednesday,11
rule2_ma_trend,2026-01-16 11:11:00,2026-01-16 11:11:00,53966.0,53945.0,-21.0,-21.0,SL,1,2026-01,Friday,11
rule2_ma_trend,2026-01-16 11:13:00,2026-01-16 11:13:00,53976.0,53955.0,-21.0,-21.0,SL,1,2026-01,Friday,11
rule2_ma_trend,2026-01-16 11:17:00,2026-01-16 11:17:00,53966.0,53945.0,-21.0,-21.0,SL,1,2026-01,Friday,11
rule2_ma_trend,2026-01-19 11:14:00,2026-01-19 11:14:00,53371.0,53350.0,-21.0,-21.0,SL,1,2026-01,Monday,11
rule2_ma_trend,2026-01-19 11:29:00,2026-01-19 11:29:00,53461.0,53429.0,-32.0,-32.0,LUNCH,1,2026-01,Monday,11
rule2_ma_trend,2026-01-19 12:42:00,2026-01-19 12:42:00,53511.0,53490.0,-21.0,-21.0,SL,1,2026-01,Monday,12
rule2_ma_trend,2026-01-21 09:18:00,2026-01-21 09:18:00,52416.0,52395.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule2_ma_trend,2026-01-21 09:49:00,2026-01-21 09:49:00,52676.0,52655.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule2_ma_trend,2026-01-21 09:52:00,2026-01-21 09:52:00,52686.0,52665.0,-21.0,-21.0,SL,1,2026-01,Wednesday,9
rule2_ma_trend,2026-01-22 09:44:00,2026-01-22 09:44:00,53476.0,53455.0,-21.0,-21.0,SL,1,2026-01,Thursday,9
rule2_ma_trend,2026-01-22 09:47:00,2026-01-22 09:47:00,53471.0,53450.0,-21.0,-21.0,SL,1,2026-01,Thursday,9
