entry_time,entry_price,exit_time,exit_price,side,pnl,result,reason,date,month,weekday,hour
2025-12-26 05:10:00+00:00,43730.0,2025-12-26 05:35:00+00:00,43700.0,short,30.0,⏱ 時間決済,time,2025-12-26,2025-12,Friday,5
2025-12-29 01:30:00+00:00,43420.0,2025-12-29 01:55:00+00:00,43450.0,short,47.5,⏱ 時間決済,time,2025-12-29,2025-12,Monday,1
2025-12-29 01:35:00+00:00,43360.0,2025-12-29 01:45:00+00:00,43460.0,short,-100.0,❌ 損切り,stop_loss,2025-12-29,2025-12,Monday,1
2025-12-29 04:20:00+00:00,43690.0,2025-12-29 04:45:00+00:00,43650.0,long,-40.0,⏱ 時間決済,time,2025-12-29,2025-12,Monday,4
2025-12-29 05:45:00+00:00,43300.0,2025-12-29 06:10:00+00:00,43270.0,short,30.0,⏱ 時間決済,time,2025-12-29,2025-12,Monday,5
2025-12-30 04:20:00+00:00,43380.0,2025-12-30 04:45:00+00:00,43370.0,long,-10.0,⏱ 時間決済,time,2025-12-30,2025-12,Tuesday,4
2025-12-30 06:10:00+00:00,43180.0,2026-01-05 00:05:00+00:00,43280.0,short,-100.0,❌ 損切り,stop_loss,2025-12-30,2025-12,Tuesday,6
2026-01-05 04:25:00+00:00,45510.0,2026-01-05 04:50:00+00:00,45700.0,long,157.5,⏱ 時間決済,time,2026-01-05,2026-01,Monday,4
2026-01-05 04:30:00+00:00,45540.0,2026-01-05 04:55:00+00:00,45710.0,long,147.5,⏱ 時間決済,time,2026-01-05,2026-01,Monday,4
2026-01-05 04:35:00+00:00,45640.0,2026-01-05 05:00:00+00:00,45780.0,long,132.5,⏱ 時間決済,time,2026-01-05,2026-01,Monday,4
2026-01-05 05:05:00+00:00,45780.0,2026-01-05 05:30:00+00:00,45820.0,long,40.0,⏱ 時間決済,time,2026-01-05,2026-01,Monday,5
2026-01-06 04:45:00+00:00,46620.0,2026-01-06 05:10:00+00:00,46850.0,long,177.5,⏱ 時間決済,time,2026-01-06,2026-01,Tuesday,4
2026-01-06 05:05:00+00:00,46750.0,2026-01-06 05:30:00+00:00,46650.0,long,-100.0,❌ 損切り,stop_loss,2026-01-06,2026-01,Tuesday,5
2026-01-06 05:10:00+00:00,46750.0,2026-01-06 05:30:00+00:00,46650.0,long,-100.0,❌ 損切り,stop_loss,2026-01-06,2026-01,Tuesday,5
2026-01-06 05:15:00+00:00,46840.0,2026-01-06 05:20:00+00:00,46740.0,long,-100.0,❌ 損切り,stop_loss,2026-01-06,2026-01,Tuesday,5
2026-01-06 06:10:00+00:00,46810.0,2026-01-06 06:20:00+00:00,46710.0,long,-100.0,❌ 損切り,stop_loss,2026-01-06,2026-01,Tuesday,6
2026-01-07 01:55:00+00:00,46360.0,2026-01-07 02:20:00+00:00,46340.0,short,20.0,⏱ 時間決済,time,2026-01-07,2026-01,Wednesday,1
2026-01-07 04:00:00+00:00,46110.0,2026-01-07 04:25:00+00:00,45960.0,short,137.5,⏱ 時間決済,time,2026-01-07,2026-01,Wednesday,4
2026-01-07 04:05:00+00:00,45990.0,2026-01-07 04:30:00+00:00,45950.0,short,40.0,⏱ 時間決済,time,2026-01-07,2026-01,Wednesday,4
2026-01-07 04:50:00+00:00,45860.0,2026-01-07 05:15:00+00:00,45960.0,short,12.5,❌ 損切り,stop_loss,2026-01-07,2026-01,Wednesday,4
2026-01-07 05:00:00+00:00,45700.0,2026-01-07 05:05:00+00:00,45800.0,short,-100.0,❌ 損切り,stop_loss,2026-01-07,2026-01,Wednesday,5
2026-01-07 05:55:00+00:00,45850.0,2026-01-07 06:20:00+00:00,45860.0,short,-10.0,⏱ 時間決済,time,2026-01-07,2026-01,Wednesday,5
2026-01-07 06:00:00+00:00,45800.0,2026-01-07 06:15:00+00:00,45900.0,short,-100.0,❌ 損切り,stop_loss,2026-01-07,2026-01,Wednesday,6
2026-01-08 00:25:00+00:00,45170.0,2026-01-08 00:30:00+00:00,45270.0,short,-100.0,❌ 損切り,stop_loss,2026-01-08,2026-01,Thursday,0
2026-01-08 04:55:00+00:00,44720.0,2026-01-08 05:20:00+00:00,44820.0,short,-100.0,❌ 損切り,stop_loss,2026-01-08,2026-01,Thursday,4
2026-01-08 05:40:00+00:00,44700.0,2026-01-08 06:00:00+00:00,44450.0,short,187.5,✅ 利確,take_profit,2026-01-08,2026-01,Thursday,5
2026-01-08 05:55:00+00:00,44660.0,2026-01-08 06:05:00+00:00,44410.0,short,187.5,✅ 利確,take_profit,2026-01-08,2026-01,Thursday,5
2026-01-09 02:05:00+00:00,45190.0,2026-01-09 02:30:00+00:00,45350.0,long,142.5,⏱ 時間決済,time,2026-01-09,2026-01,Friday,2
