pattern_id,side,pattern,error
1,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
2,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
3,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
4,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
5,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
6,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
7,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
8,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
9,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
10,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
11,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
12,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=5m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
13,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
14,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
15,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
16,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
17,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
18,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
19,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
20,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
21,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
22,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
23,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
24,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=15m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
25,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
26,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
27,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
28,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
29,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
30,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
31,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
32,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
33,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
34,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
35,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
36,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.0|vol=30m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
37,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
38,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
39,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
40,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
41,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
42,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
43,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
44,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
45,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
46,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
47,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
48,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=5m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
49,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
50,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
51,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
52,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
53,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
54,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
55,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
56,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
57,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
58,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
59,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
60,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=15m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
61,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
62,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
63,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
64,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
65,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
66,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
67,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
68,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
69,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
70,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
71,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
72,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/1.8/0.1|vol=30m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
