datetime,year,month,hour,pnl
2023-07-24 16:30:00,2023,7,16,117.8
2023-07-31 16:30:00,2023,7,16,-62.2
2023-10-02 13:30:00,2023,10,13,12.8
2023-10-16 09:05:00,2023,10,9,117.8
2023-12-20 16:30:00,2023,12,16,117.8
2024-01-03 08:45:00,2024,1,8,-22.2
2024-01-04 09:00:00,2024,1,9,-62.2
2024-03-11 18:45:00,2024,3,18,117.8
2024-04-29 17:00:00,2024,4,17,117.8
2024-05-10 11:30:00,2024,5,11,2.8
2024-07-12 21:40:00,2024,7,21,-62.2
2024-07-29 16:30:00,2024,7,16,17.8
2024-08-05 09:00:00,2024,8,9,-62.2
2024-08-05 09:15:00,2024,8,9,117.8
2024-08-05 13:05:00,2024,8,13,-62.2
2024-08-05 13:40:00,2024,8,13,-62.2
2024-08-05 14:00:00,2024,8,14,-62.2
2024-08-05 22:30:00,2024,8,22,117.8
2024-08-06 01:45:00,2024,8,1,-62.2
2024-08-06 13:45:00,2024,8,13,-62.2
2024-08-06 13:55:00,2024,8,13,-62.2
2024-08-06 16:30:00,2024,8,16,117.8
2024-08-06 17:10:00,2024,8,17,-62.2
2024-08-06 18:20:00,2024,8,18,117.8
2024-08-06 21:20:00,2024,8,21,117.8
2024-08-06 21:30:00,2024,8,21,117.8
2024-08-07 04:00:00,2024,8,4,-62.2
2024-08-07 04:05:00,2024,8,4,-62.2
2024-08-07 04:15:00,2024,8,4,117.8
2024-08-07 08:50:00,2024,8,8,117.8
2024-08-07 16:30:00,2024,8,16,-62.2
2024-08-07 16:40:00,2024,8,16,117.8
2024-08-07 17:10:00,2024,8,17,117.8
2024-08-07 22:40:00,2024,8,22,117.8
2024-08-08 08:45:00,2024,8,8,-62.2
2024-08-08 16:30:00,2024,8,16,117.8
2024-08-08 16:50:00,2024,8,16,117.8
2024-08-09 14:00:00,2024,8,14,117.8
2024-08-14 11:10:00,2024,8,11,117.8
2024-08-20 16:30:00,2024,8,16,-62.2
2024-08-26 08:45:00,2024,8,8,117.8
2024-09-04 00:00:00,2024,9,0,42.8
2024-09-09 00:00:00,2024,9,0,-62.2
2024-09-23 16:30:00,2024,9,16,117.8
2024-10-04 16:30:00,2024,10,16,-62.2
2024-10-10 16:30:00,2024,10,16,82.8
2024-10-11 21:30:00,2024,10,21,-62.2
2024-10-28 08:45:00,2024,10,8,117.8
2024-11-19 00:00:00,2024,11,0,117.8
2024-11-25 17:00:00,2024,11,17,-62.2
2024-11-26 08:50:00,2024,11,8,-62.2
2024-12-02 00:00:00,2024,12,0,67.8
2025-01-09 00:00:00,2025,1,0,-62.2
2025-02-04 14:05:00,2025,2,14,117.8
2025-02-21 00:00:00,2025,2,0,-62.2
2025-03-04 05:10:00,2025,3,5,-62.2
2025-03-05 00:00:00,2025,3,0,-62.2
2025-03-05 05:50:00,2025,3,5,117.8
2025-03-10 17:00:00,2025,3,17,-62.2
2025-03-10 22:55:00,2025,3,22,-62.2
2025-03-14 09:00:00,2025,3,9,117.8
2025-04-03 05:35:00,2025,4,5,-62.2
2025-04-03 05:40:00,2025,4,5,-62.2
2025-04-03 08:45:00,2025,4,8,-62.2
2025-04-07 00:00:00,2025,4,0,-62.2
2025-04-07 00:05:00,2025,4,0,117.8
2025-04-07 00:35:00,2025,4,0,117.8
2025-04-07 09:00:00,2025,4,9,117.8
2025-04-07 09:10:00,2025,4,9,117.8
2025-04-07 09:45:00,2025,4,9,117.8
2025-04-07 15:30:00,2025,4,15,-62.2
2025-04-08 00:10:00,2025,4,0,117.8
2025-04-08 17:00:00,2025,4,17,-62.2
2025-04-08 22:35:00,2025,4,22,-62.2
2025-04-08 22:40:00,2025,4,22,117.8
2025-04-09 02:10:00,2025,4,2,117.8
2025-04-09 04:15:00,2025,4,4,117.8
2025-04-09 08:45:00,2025,4,8,117.8
2025-04-09 09:25:00,2025,4,9,117.8
2025-04-09 13:25:00,2025,4,13,117.8
2025-04-10 00:00:00,2025,4,0,117.8
2025-04-10 20:00:00,2025,4,20,-62.2
2025-04-11 01:20:00,2025,4,1,-62.2
2025-04-11 01:25:00,2025,4,1,117.8
2025-04-11 09:05:00,2025,4,9,117.8
2025-04-11 22:40:00,2025,4,22,117.8
2025-04-14 17:00:00,2025,4,17,117.8
2025-04-17 17:00:00,2025,4,17,117.8
2025-05-26 21:45:00,2025,5,21,-62.2
2025-06-02 21:05:00,2025,6,21,-62.2
2025-06-16 17:00:00,2025,6,17,-2.2
2025-08-04 23:00:00,2025,8,23,117.8
2025-08-08 17:00:00,2025,8,17,52.8
2025-08-28 05:20:00,2025,8,5,47.8
2025-10-13 00:15:00,2025,10,0,-62.2
2025-10-14 13:15:00,2025,10,13,117.8
2025-10-15 04:35:00,2025,10,4,-62.2
2025-10-23 01:30:00,2025,10,1,117.8
2025-11-12 09:05:00,2025,11,9,-62.2
2025-11-24 17:00:00,2025,11,17,117.8
2025-12-22 17:00:00,2025,12,17,-62.2
2026-01-15 21:00:00,2026,1,21,117.8
2026-01-26 08:45:00,2026,1,8,117.8
2026-02-03 17:00:00,2026,2,17,77.8
2026-02-10 17:00:00,2026,2,17,117.8
2026-02-11 17:00:00,2026,2,17,117.8
2026-02-18 00:00:00,2026,2,0,-62.2
2026-02-18 17:00:00,2026,2,17,117.8
2026-02-23 08:45:00,2026,2,8,-62.2
2026-02-27 00:00:00,2026,2,0,-62.2
2026-03-02 08:45:00,2026,3,8,117.8
2026-03-03 00:00:00,2026,3,0,-62.2
2026-03-04 08:45:00,2026,3,8,117.8
2026-03-04 08:55:00,2026,3,8,117.8
2026-03-04 10:20:00,2026,3,10,-62.2
2026-03-05 23:35:00,2026,3,23,-62.2
2026-03-09 00:00:00,2026,3,0,-62.2
2026-03-09 08:45:00,2026,3,8,117.8
2026-03-09 08:50:00,2026,3,8,117.8
2026-03-09 09:00:00,2026,3,9,117.8
2026-03-10 09:20:00,2026,3,9,117.8
2026-03-11 17:00:00,2026,3,17,117.8
2026-03-12 08:45:00,2026,3,8,117.8
2026-03-13 09:00:00,2026,3,9,117.8
2026-03-24 17:00:00,2026,3,17,117.8
2026-03-25 20:50:00,2026,3,20,117.8
2026-03-26 08:45:00,2026,3,8,117.8
2026-04-01 17:00:00,2026,4,17,-62.2
2026-04-02 10:30:00,2026,4,10,-62.2
2026-04-08 17:00:00,2026,4,17,117.8
2026-04-09 08:45:00,2026,4,8,-62.2
2026-04-14 17:00:00,2026,4,17,-62.2
