label,side,signal_time,entry_time,exit_time,year,month,pnl_pt,pnl_yen,result
LONG_4,long,2023-07-24 16:30:00,2023-07-24 16:35:00,2023-07-24 16:40:00,2023,7,117.8,1178,TP
SHORT_5F_ALL,short,2023-07-28 12:25:00,2023-07-28 12:30:00,2023-07-28 12:30:00,2023,7,-62.2,-622,SL
SHORT_5F_ALL,short,2023-07-28 12:30:00,2023-07-28 12:35:00,2023-07-28 12:35:00,2023,7,-62.2,-622,SL
SHORT_5F_ALL,short,2023-07-28 12:35:00,2023-07-28 12:40:00,2023-07-28 12:40:00,2023,7,117.8,1178,TP
SHORT_5F_ALL,short,2023-07-28 14:50:00,2023-07-28 14:55:00,2023-07-28 16:30:00,2023,7,-62.2,-622,SL
LONG_4,long,2023-07-31 16:30:00,2023-07-31 16:35:00,2023-07-31 16:45:00,2023,7,-62.2,-622,SL
LONG_4,long,2023-10-02 13:30:00,2023-10-02 13:35:00,2023-10-02 14:00:00,2023,10,12.8,128,TIME
SHORT_5F_ALL,short,2023-10-04 13:40:00,2023-10-04 13:45:00,2023-10-04 13:55:00,2023,10,-62.2,-622,SL
SHORT_5F_ALL,short,2023-10-13 09:15:00,2023-10-13 09:20:00,2023-10-13 09:25:00,2023,10,117.8,1178,TP
LONG_4,long,2023-10-16 09:05:00,2023-10-16 09:10:00,2023-10-16 09:20:00,2023,10,117.8,1178,TP
SHORT_5F_ALL,short,2023-10-20 16:45:00,2023-10-20 16:50:00,2023-10-20 17:05:00,2023,10,-62.2,-622,SL
SHORT_5F_ALL,short,2023-10-24 11:25:00,2023-10-24 11:30:00,2023-10-24 11:30:00,2023,10,-62.2,-622,SL
SHORT_5F_ALL,short,2023-10-31 12:30:00,2023-10-31 12:35:00,2023-10-31 12:35:00,2023,10,117.8,1178,TP
SHORT_5F_ALL,short,2023-10-31 13:10:00,2023-10-31 13:15:00,2023-10-31 13:40:00,2023,10,117.8,1178,TP
SHORT_5F_ALL,short,2023-11-01 23:15:00,2023-11-01 23:20:00,2023-11-01 23:45:00,2023,11,2.8,28,TIME
SHORT_5F_ALL,short,2023-12-14 09:00:00,2023-12-14 09:05:00,2023-12-14 09:15:00,2023,12,117.8,1178,TP
SHORT_5F_ALL,short,2023-12-19 11:50:00,2023-12-19 11:55:00,2023-12-19 12:20:00,2023,12,-12.2,-122,TIME
LONG_4,long,2023-12-20 16:30:00,2023-12-20 16:35:00,2023-12-20 16:45:00,2023,12,117.8,1178,TP
LONG_4,long,2024-01-03 08:45:00,2024-01-03 08:50:00,2024-01-03 09:15:00,2024,1,-22.2,-222,TIME
LONG_4,long,2024-01-04 09:00:00,2024-01-04 09:05:00,2024-01-04 09:05:00,2024,1,-62.2,-622,SL
SHORT_5F_ALL,short,2024-01-12 00:00:00,2024-01-12 00:05:00,2024-01-12 00:30:00,2024,1,87.8,878,TIME
SHORT_5F_ALL,short,2024-01-18 09:15:00,2024-01-18 09:20:00,2024-01-18 09:45:00,2024,1,-42.2,-422,TIME
SHORT_5F_ALL,short,2024-01-23 09:10:00,2024-01-23 09:15:00,2024-01-23 09:40:00,2024,1,-37.2,-372,TIME
SHORT_5F_ALL,short,2024-02-14 16:30:00,2024-02-14 16:35:00,2024-02-14 17:00:00,2024,2,-62.2,-622,SL
LONG_4,long,2024-03-11 18:45:00,2024-03-11 18:50:00,2024-03-11 19:00:00,2024,3,117.8,1178,TP
SHORT_5F_ALL,short,2024-03-19 12:40:00,2024-03-19 12:45:00,2024-03-19 12:45:00,2024,3,117.8,1178,TP
SHORT_5F_ALL,short,2024-04-22 09:15:00,2024-04-22 09:20:00,2024-04-22 09:20:00,2024,4,-62.2,-622,SL
SHORT_5F_ALL,short,2024-04-22 10:15:00,2024-04-22 10:20:00,2024-04-22 10:35:00,2024,4,117.8,1178,TP
SHORT_5F_ALL,short,2024-04-26 12:35:00,2024-04-26 12:40:00,2024-04-26 12:40:00,2024,4,-62.2,-622,SL
LONG_4,long,2024-04-29 17:00:00,2024-04-29 17:05:00,2024-04-29 17:10:00,2024,4,117.8,1178,TP
LONG_4,long,2024-05-10 11:30:00,2024-05-10 11:35:00,2024-05-10 12:00:00,2024,5,2.8,28,TIME
SHORT_5F_ALL,short,2024-05-29 09:30:00,2024-05-29 09:35:00,2024-05-29 09:40:00,2024,5,117.8,1178,TP
SHORT_5F_ALL,short,2024-05-30 16:30:00,2024-05-30 16:35:00,2024-05-30 16:40:00,2024,5,-62.2,-622,SL
