label,side,signal_time,entry_time,exit_time,year,month,pnl_pt,pnl_yen,result
SHORT_4,short,2023-07-28 12:25:00,2023-07-28 12:30:00,2023-07-28 12:30:00,2023,7,-62.2,-622,SL
SHORT_4,short,2023-07-28 12:30:00,2023-07-28 12:35:00,2023-07-28 12:35:00,2023,7,-62.2,-622,SL
SHORT_4,short,2023-07-28 12:35:00,2023-07-28 12:40:00,2023-07-28 12:40:00,2023,7,117.8,1178,TP
SHORT_4,short,2023-07-28 14:50:00,2023-07-28 14:55:00,2023-07-28 16:30:00,2023,7,-62.2,-622,SL
SHORT_4,short,2023-10-31 12:30:00,2023-10-31 12:35:00,2023-10-31 12:35:00,2023,10,117.8,1178,TP
SHORT_4,short,2023-12-14 09:00:00,2023-12-14 09:05:00,2023-12-14 09:15:00,2023,12,117.8,1178,TP
SHORT_4,short,2024-01-12 00:00:00,2024-01-12 00:05:00,2024-01-12 00:30:00,2024,1,87.8,878,TIME
SHORT_4,short,2024-03-19 12:40:00,2024-03-19 12:45:00,2024-03-19 12:45:00,2024,3,117.8,1178,TP
SHORT_4,short,2024-07-31 14:40:00,2024-07-31 14:45:00,2024-07-31 14:45:00,2024,7,-62.2,-622,SL
SHORT_4,short,2024-08-06 22:40:00,2024-08-06 22:45:00,2024-08-06 22:45:00,2024,8,117.8,1178,TP
SHORT_4,short,2024-08-06 22:45:00,2024-08-06 22:50:00,2024-08-06 22:50:00,2024,8,117.8,1178,TP
SHORT_4,short,2024-08-06 22:50:00,2024-08-06 22:55:00,2024-08-06 22:55:00,2024,8,117.8,1178,TP
SHORT_4,short,2024-08-06 23:00:00,2024-08-06 23:05:00,2024-08-06 23:05:00,2024,8,117.8,1178,TP
SHORT_4,short,2024-08-07 20:30:00,2024-08-07 20:35:00,2024-08-07 20:35:00,2024,8,117.8,1178,TP
SHORT_4,short,2024-08-07 23:50:00,2024-08-07 23:55:00,2024-08-07 23:55:00,2024,8,117.8,1178,TP
SHORT_4,short,2024-08-09 21:40:00,2024-08-09 21:45:00,2024-08-09 21:50:00,2024,8,-62.2,-622,SL
SHORT_4,short,2024-08-13 08:45:00,2024-08-13 08:50:00,2024-08-13 08:55:00,2024,8,-62.2,-622,SL
SHORT_4,short,2024-08-16 21:40:00,2024-08-16 21:45:00,2024-08-16 21:45:00,2024,8,-62.2,-622,SL
SHORT_4,short,2024-09-09 21:25:00,2024-09-09 21:30:00,2024-09-09 21:30:00,2024,9,117.8,1178,TP
SHORT_4,short,2024-09-19 09:00:00,2024-09-19 09:05:00,2024-09-19 09:05:00,2024,9,117.8,1178,TP
SHORT_4,short,2024-09-27 14:05:00,2024-09-27 14:10:00,2024-09-27 14:10:00,2024,9,117.8,1178,TP
SHORT_4,short,2024-09-30 08:50:00,2024-09-30 08:55:00,2024-09-30 08:55:00,2024,9,-62.2,-622,SL
SHORT_4,short,2024-09-30 09:00:00,2024-09-30 09:05:00,2024-09-30 09:05:00,2024,9,-62.2,-622,SL
SHORT_4,short,2024-10-03 08:55:00,2024-10-03 09:00:00,2024-10-03 09:00:00,2024,10,-62.2,-622,SL
SHORT_4,short,2024-10-03 09:00:00,2024-10-03 09:05:00,2024-10-03 09:05:00,2024,10,117.8,1178,TP
SHORT_4,short,2024-10-07 21:30:00,2024-10-07 21:35:00,2024-10-07 21:35:00,2024,10,-62.2,-622,SL
SHORT_4,short,2024-11-07 00:00:00,2024-11-07 00:05:00,2024-11-07 00:10:00,2024,11,-62.2,-622,SL
SHORT_4,short,2024-11-08 08:55:00,2024-11-08 09:00:00,2024-11-08 09:00:00,2024,11,-62.2,-622,SL
SHORT_4,short,2024-11-25 08:55:00,2024-11-25 09:00:00,2024-11-25 09:00:00,2024,11,-62.2,-622,SL
SHORT_4,short,2024-12-30 00:00:00,2024-12-30 00:05:00,2024-12-30 00:30:00,2024,12,77.8,778,TIME
SHORT_4,short,2025-01-27 00:00:00,2025-01-27 00:05:00,2025-01-27 00:30:00,2025,1,17.8,178,TIME
SHORT_4,short,2025-02-10 09:00:00,2025-02-10 09:05:00,2025-02-10 09:10:00,2025,2,-62.2,-622,SL
SHORT_4,short,2025-03-04 00:00:00,2025-03-04 00:05:00,2025-03-04 00:15:00,2025,3,117.8,1178,TP
SHORT_4,short,2025-04-03 05:10:00,2025-04-03 05:15:00,2025-04-03 05:15:00,2025,4,-62.2,-622,SL
SHORT_4,short,2025-04-03 05:15:00,2025-04-03 05:20:00,2025-04-03 05:20:00,2025,4,117.8,1178,TP
SHORT_4,short,2025-04-08 08:45:00,2025-04-08 08:50:00,2025-04-08 08:50:00,2025,4,117.8,1178,TP
SHORT_4,short,2025-04-08 23:10:00,2025-04-08 23:15:00,2025-04-08 23:15:00,2025,4,-62.2,-622,SL
SHORT_4,short,2025-04-09 15:05:00,2025-04-09 15:10:00,2025-04-09 15:10:00,2025,4,-62.2,-622,SL
SHORT_4,short,2025-04-09 15:15:00,2025-04-09 15:20:00,2025-04-09 15:25:00,2025,4,117.8,1178,TP
SHORT_4,short,2025-04-09 21:00:00,2025-04-09 21:05:00,2025-04-09 21:10:00,2025,4,-62.2,-622,SL
SHORT_4,short,2025-04-10 22:40:00,2025-04-10 22:45:00,2025-04-10 22:45:00,2025,4,117.8,1178,TP
