side,move_pct,rsi_th,vol_th,lookback,recovery_pct,tp,sl,max_hold,n,win_rate,pnl,pf,ev
long,0.004,50,0.8,1,0,120,60,6,726,44.8,5447.8,1.241,7.5
long,0.004,40,0.8,1,0,120,60,6,656,44.8,4741.8,1.234,7.23
long,0.004,45,0.8,1,0,120,60,6,692,44.7,4992.6,1.233,7.21
long,0.004,35,0.8,1,0,120,60,6,602,45.0,4170.6,1.225,6.93
long,0.004,30,0.8,1,0,120,60,6,535,44.5,3008.0,1.181,5.62
long,0.003,40,0.8,1,0,120,60,6,1002,43.3,5550.6,1.17,5.54
long,0.004,50,0.8,2,0,120,60,6,1572,42.4,8566.6,1.165,5.45
long,0.004,45,0.8,2,0,120,60,6,1496,42.5,7958.8,1.162,5.32
long,0.003,45,0.8,1,0,120,60,6,1081,42.8,5661.8,1.159,5.24
long,0.004,40,0.8,2,0,120,60,6,1404,42.7,7131.2,1.155,5.08
long,0.003,50,0.8,1,0,120,60,6,1148,42.6,5869.4,1.155,5.11
long,0.003,35,0.8,1,0,120,60,6,896,43.1,4343.8,1.148,4.85
long,0.004,35,0.8,2,0,120,60,6,1299,42.3,5682.2,1.133,4.37
long,0.003,30,0.8,1,0,120,60,6,770,43.0,3361.0,1.133,4.36
long,0.004,30,0.8,2,0,120,60,6,1132,42.4,4739.6,1.127,4.19
long,0.003,50,0.8,2,0,120,60,6,2579,41.1,9856.2,1.112,3.82
long,0.003,35,0.8,2,0,120,60,6,2010,41.6,7538.0,1.11,3.75
long,0.003,45,0.8,2,0,120,60,6,2426,41.2,8912.8,1.108,3.67
long,0.003,40,0.8,2,0,120,60,6,2234,41.4,7805.2,1.103,3.49
long,0.003,30,0.8,2,0,120,60,6,1707,41.4,5754.6,1.099,3.37
long,0.002,45,0.8,1,0,120,60,6,2165,40.9,6247.0,1.084,2.89
long,0.002,40,0.8,1,0,120,60,6,1932,40.9,5164.6,1.078,2.67
long,0.002,35,0.8,1,0,120,60,6,1672,40.7,4091.6,1.071,2.45
long,0.002,50,0.8,1,0,120,60,6,2374,40.3,5037.2,1.061,2.12
long,0.002,30,0.8,1,0,120,60,6,1364,40.2,1574.2,1.033,1.15
long,0.002,35,0.8,2,0,120,60,6,3575,40.5,3555.0,1.029,0.99
long,0.002,40,0.8,2,0,120,60,6,4165,40.4,3322.0,1.023,0.8
long,0.002,30,0.8,2,0,120,60,6,2900,40.4,2070.0,1.021,0.71
long,0.002,50,0.8,2,0,120,60,6,5165,40.0,2707.0,1.015,0.52
long,0.002,45,0.8,2,0,120,60,6,4708,40.0,2382.4,1.015,0.51
long,0.001,45,0.8,2,0,120,60,6,11188,42.4,-58.6,1.0,-0.01
long,0.001,50,0.8,2,0,120,60,6,12703,42.4,-356.6,0.999,-0.03
long,0.001,40,0.8,2,0,120,60,6,9564,42.3,-1085.8,0.996,-0.11
long,0.001,30,0.8,2,0,120,60,6,5860,42.3,-872.0,0.995,-0.15
long,0.001,35,0.8,2,0,120,60,6,7735,42.1,-1182.0,0.995,-0.15
long,0.001,45,0.8,1,0,120,60,6,6498,41.1,-1380.6,0.994,-0.21
long,0.001,35,0.8,1,0,120,60,6,4480,41.0,-1476.0,0.99,-0.33
long,0.001,50,0.8,1,0,120,60,6,7458,41.1,-2602.6,0.989,-0.35
long,0.001,40,0.8,1,0,120,60,6,5544,40.9,-3121.8,0.983,-0.56
long,0.001,30,0.8,1,0,120,60,6,3436,40.9,-2344.2,0.98,-0.68
