side,move_pct,rsi_th,vol_th,lookback,recovery_pct,tp,sl,max_hold,n,win_rate,pnl,pf,ev
short,0.004,70,0.8,1,0,120,60,6,429,41.3,1271.2,1.096,2.96
short,0.003,70,0.8,1,0,120,60,6,580,40.3,1589.0,1.084,2.74
short,0.003,60,0.8,1,0,120,60,6,765,39.7,1722.0,1.068,2.25
short,0.004,65,0.8,1,0,120,60,6,490,40.4,972.0,1.063,1.98
short,0.004,60,0.8,1,0,120,60,6,530,40.0,954.0,1.057,1.8
short,0.003,55,0.8,1,0,120,60,6,842,39.2,1377.6,1.049,1.64
short,0.004,70,0.8,2,0,120,60,6,905,39.8,1369.0,1.046,1.51
short,0.004,65,0.8,2,0,120,60,6,1031,39.5,1426.8,1.042,1.38
short,0.003,65,0.8,1,0,120,60,6,683,39.5,957.4,1.042,1.4
short,0.004,60,0.8,2,0,120,60,6,1138,39.3,1541.4,1.041,1.35
short,0.002,70,0.8,1,0,120,60,6,984,39.1,1275.2,1.038,1.3
short,0.002,65,0.8,2,0,120,60,6,2753,40.2,2503.4,1.027,0.91
short,0.003,60,0.8,2,0,120,60,6,1726,39.0,1412.8,1.024,0.82
short,0.004,55,0.8,1,0,120,60,6,571,39.1,428.8,1.023,0.75
short,0.004,50,0.8,1,0,120,60,6,602,38.9,295.6,1.015,0.49
short,0.001,65,0.8,2,0,120,60,6,6780,42.3,2569.0,1.013,0.38
short,0.002,60,0.8,2,0,120,60,6,3297,39.7,1366.6,1.012,0.41
short,0.003,65,0.8,2,0,120,60,6,1511,38.9,620.8,1.012,0.41
short,0.003,50,0.8,1,0,120,60,6,920,38.4,251.0,1.008,0.27
short,0.001,70,0.8,2,0,120,60,6,5142,42.3,932.6,1.006,0.18
short,0.003,70,0.8,2,0,120,60,6,1259,38.9,195.2,1.005,0.16
short,0.001,60,0.8,2,0,120,60,6,8505,42.0,149.0,1.001,0.02
short,0.002,70,0.8,2,0,120,60,6,2187,39.7,53.6,1.001,0.02
short,0.004,55,0.8,2,0,120,60,6,1229,38.2,11.2,1.0,0.01
short,0.002,65,0.8,1,0,120,60,6,1231,38.4,-33.2,0.999,-0.03
short,0.001,65,0.8,1,0,120,60,6,3601,40.4,-247.2,0.998,-0.07
short,0.001,55,0.8,1,0,120,60,6,5396,40.2,-386.2,0.998,-0.07
short,0.001,55,0.8,2,0,120,60,6,10052,41.9,-1354.4,0.995,-0.13
short,0.004,50,0.8,2,0,120,60,6,1314,38.1,-295.8,0.993,-0.23
short,0.002,55,0.8,1,0,120,60,6,1703,37.8,-481.6,0.992,-0.28
short,0.001,70,0.8,1,0,120,60,6,2735,40.4,-707.0,0.992,-0.26
short,0.002,55,0.8,2,0,120,60,6,3811,39.2,-1179.2,0.991,-0.31
short,0.003,55,0.8,2,0,120,60,6,1925,38.1,-705.0,0.99,-0.37
short,0.001,60,0.8,1,0,120,60,6,4510,40.0,-2577.0,0.982,-0.57
short,0.002,60,0.8,1,0,120,60,6,1489,37.7,-1040.8,0.98,-0.7
short,0.003,50,0.8,2,0,120,60,6,2119,37.8,-1811.8,0.976,-0.86
short,0.001,50,0.8,2,0,120,60,6,11585,41.4,-8272.0,0.976,-0.71
short,0.001,50,0.8,1,0,120,60,6,6372,39.7,-5298.4,0.975,-0.83
short,0.002,50,0.8,2,0,120,60,6,4308,38.7,-4697.6,0.968,-1.09
short,0.002,50,0.8,1,0,120,60,6,1933,37.2,-2377.6,0.966,-1.23
