side,signal_time,entry_time,exit_time,year,month,pnl_pt,pnl_yen,result
long,2023-07-24 16:30:00,2023-07-24 16:35:00,2023-07-24 16:40:00,2023,7,117.8,1178,TP
long,2023-07-31 16:30:00,2023-07-31 16:35:00,2023-07-31 16:45:00,2023,7,-62.2,-622,SL
long,2023-10-02 13:30:00,2023-10-02 13:35:00,2023-10-02 13:45:00,2023,10,37.8,378,TIME
long,2023-12-20 16:30:00,2023-12-20 16:35:00,2023-12-20 16:45:00,2023,12,117.8,1178,TP
long,2024-01-03 08:45:00,2024-01-03 08:50:00,2024-01-03 09:00:00,2024,1,17.8,178,TIME
long,2024-01-04 09:00:00,2024-01-04 09:05:00,2024-01-04 09:05:00,2024,1,-62.2,-622,SL
long,2024-03-07 10:50:00,2024-03-07 10:55:00,2024-03-07 10:55:00,2024,3,-62.2,-622,SL
long,2024-03-11 18:45:00,2024-03-11 18:50:00,2024-03-11 19:00:00,2024,3,117.8,1178,TP
long,2024-04-03 09:05:00,2024-04-03 09:10:00,2024-04-03 09:10:00,2024,4,-62.2,-622,SL
long,2024-04-29 17:00:00,2024-04-29 17:05:00,2024-04-29 17:10:00,2024,4,117.8,1178,TP
long,2024-07-12 00:05:00,2024-07-12 00:10:00,2024-07-12 00:10:00,2024,7,-62.2,-622,SL
long,2024-07-29 16:30:00,2024-07-29 16:35:00,2024-07-29 16:45:00,2024,7,-22.2,-222,TIME
long,2024-08-05 08:50:00,2024-08-05 08:55:00,2024-08-05 08:55:00,2024,8,-62.2,-622,SL
long,2024-08-05 09:15:00,2024-08-05 09:20:00,2024-08-05 09:20:00,2024,8,117.8,1178,TP
long,2024-08-05 09:20:00,2024-08-05 09:25:00,2024-08-05 09:25:00,2024,8,117.8,1178,TP
long,2024-08-05 13:05:00,2024-08-05 13:10:00,2024-08-05 13:10:00,2024,8,-62.2,-622,SL
long,2024-08-05 13:10:00,2024-08-05 13:15:00,2024-08-05 13:15:00,2024,8,-62.2,-622,SL
long,2024-08-05 14:00:00,2024-08-05 14:05:00,2024-08-05 14:05:00,2024,8,-62.2,-622,SL
long,2024-08-06 13:45:00,2024-08-06 13:50:00,2024-08-06 13:55:00,2024,8,-62.2,-622,SL
long,2024-08-06 13:55:00,2024-08-06 14:00:00,2024-08-06 14:00:00,2024,8,-62.2,-622,SL
long,2024-08-06 14:05:00,2024-08-06 14:10:00,2024-08-06 14:10:00,2024,8,117.8,1178,TP
long,2024-08-06 16:30:00,2024-08-06 16:35:00,2024-08-06 16:35:00,2024,8,117.8,1178,TP
long,2024-08-06 16:35:00,2024-08-06 16:40:00,2024-08-06 16:40:00,2024,8,117.8,1178,TP
long,2024-08-06 20:55:00,2024-08-06 21:00:00,2024-08-06 21:00:00,2024,8,117.8,1178,TP
long,2024-08-06 21:15:00,2024-08-06 21:20:00,2024-08-06 21:20:00,2024,8,-62.2,-622,SL
long,2024-08-06 21:20:00,2024-08-06 21:25:00,2024-08-06 21:25:00,2024,8,117.8,1178,TP
long,2024-08-06 21:25:00,2024-08-06 21:30:00,2024-08-06 21:30:00,2024,8,-62.2,-622,SL
long,2024-08-07 16:30:00,2024-08-07 16:35:00,2024-08-07 16:35:00,2024,8,-62.2,-622,SL
long,2024-08-07 16:40:00,2024-08-07 16:45:00,2024-08-07 16:45:00,2024,8,117.8,1178,TP
long,2024-08-07 16:55:00,2024-08-07 17:00:00,2024-08-07 17:00:00,2024,8,-62.2,-622,SL
long,2024-08-07 17:10:00,2024-08-07 17:15:00,2024-08-07 17:15:00,2024,8,117.8,1178,TP
long,2024-08-08 03:15:00,2024-08-08 03:20:00,2024-08-08 03:25:00,2024,8,117.8,1178,TP
long,2024-08-08 08:45:00,2024-08-08 08:50:00,2024-08-08 08:50:00,2024,8,-62.2,-622,SL
long,2024-08-08 16:30:00,2024-08-08 16:35:00,2024-08-08 16:35:00,2024,8,117.8,1178,TP
long,2024-08-09 13:30:00,2024-08-09 13:35:00,2024-08-09 13:40:00,2024,8,-62.2,-622,SL
long,2024-08-09 14:00:00,2024-08-09 14:05:00,2024-08-09 14:05:00,2024,8,117.8,1178,TP
long,2024-08-15 23:35:00,2024-08-15 23:40:00,2024-08-15 23:50:00,2024,8,107.8,1078,TIME
long,2024-08-20 16:30:00,2024-08-20 16:35:00,2024-08-20 16:45:00,2024,8,-7.2,-72,TIME
long,2024-08-26 08:45:00,2024-08-26 08:50:00,2024-08-26 09:00:00,2024,8,117.8,1178,TP
long,2024-09-04 00:00:00,2024-09-04 00:05:00,2024-09-04 00:15:00,2024,9,47.8,478,TIME
long,2024-09-09 00:00:00,2024-09-09 00:05:00,2024-09-09 00:10:00,2024,9,-62.2,-622,SL
long,2024-09-09 00:20:00,2024-09-09 00:25:00,2024-09-09 00:30:00,2024,9,117.8,1178,TP
long,2024-09-09 23:35:00,2024-09-09 23:40:00,2024-09-09 23:40:00,2024,9,-62.2,-622,SL
long,2024-09-10 09:15:00,2024-09-10 09:20:00,2024-09-10 09:30:00,2024,9,7.8,78,TIME
long,2024-09-23 16:30:00,2024-09-23 16:35:00,2024-09-23 16:45:00,2024,9,117.8,1178,TP
long,2024-09-30 03:30:00,2024-09-30 03:35:00,2024-09-30 03:35:00,2024,9,-62.2,-622,SL
long,2024-10-02 22:40:00,2024-10-02 22:45:00,2024-10-02 22:45:00,2024,10,-62.2,-622,SL
long,2024-10-02 23:10:00,2024-10-02 23:15:00,2024-10-02 23:15:00,2024,10,-62.2,-622,SL
long,2024-10-04 16:30:00,2024-10-04 16:35:00,2024-10-04 16:35:00,2024,10,-62.2,-622,SL
long,2024-10-10 16:30:00,2024-10-10 16:35:00,2024-10-10 16:45:00,2024,10,27.8,278,TIME
long,2024-10-11 21:30:00,2024-10-11 21:35:00,2024-10-11 21:35:00,2024,10,-62.2,-622,SL
long,2024-10-28 08:45:00,2024-10-28 08:50:00,2024-10-28 08:50:00,2024,10,117.8,1178,TP
long,2024-11-12 11:50:00,2024-11-12 11:55:00,2024-11-12 12:05:00,2024,11,27.8,278,TIME
long,2024-11-14 00:05:00,2024-11-14 00:10:00,2024-11-14 00:20:00,2024,11,2.8,28,TIME
long,2024-11-19 00:00:00,2024-11-19 00:05:00,2024-11-19 00:15:00,2024,11,12.8,128,TIME
long,2024-11-20 17:40:00,2024-11-20 17:45:00,2024-11-20 17:50:00,2024,11,117.8,1178,TP
long,2024-11-25 17:00:00,2024-11-25 17:05:00,2024-11-25 17:15:00,2024,11,-62.2,-622,SL
long,2024-11-26 08:50:00,2024-11-26 08:55:00,2024-11-26 09:00:00,2024,11,-62.2,-622,SL
