type,year,month,n,win_rate,pnl_yen,pf
auto,2023,7,491,24.4,-43302.0,0.806
auto,2023,8,1683,26.0,-189276.0,0.748
auto,2023,9,1547,35.1,63016.0,1.105
auto,2023,10,1653,30.7,97834.0,1.139
auto,2023,11,1660,31.0,57380.0,1.084
auto,2023,12,1556,34.1,214068.0,1.352
auto,2024,1,1688,31.1,254164.0,1.362
auto,2024,2,1706,30.1,90918.0,1.127
auto,2024,3,1671,26.8,42338.0,1.057
auto,2024,4,1588,21.0,-143936.0,0.814
auto,2024,5,1780,27.1,-31810.0,0.96
auto,2024,6,1675,27.5,750.0,1.001
auto,2024,7,1753,23.4,-143616.0,0.825
auto,2024,8,1624,20.0,-120128.0,0.851
auto,2024,9,1526,24.1,52678.0,1.074
auto,2024,10,1790,22.8,-17230.0,0.98
auto,2024,11,1615,21.4,-85530.0,0.891
auto,2024,12,1637,29.9,47386.0,1.068
auto,2025,1,1593,29.9,220904.0,1.32
auto,2025,2,1519,23.8,-207068.0,0.703
auto,2025,3,1554,20.1,-131338.0,0.829
auto,2025,4,1730,24.0,23040.0,1.028
auto,2025,5,1762,21.8,-202414.0,0.761
auto,2025,6,1659,33.0,260202.0,1.386
auto,2025,7,1724,28.5,-45528.0,0.939
auto,2025,8,1642,28.7,83926.0,1.117
auto,2025,9,1732,28.5,122696.0,1.162
auto,2025,10,1806,27.0,178168.0,1.218
auto,2025,11,1528,21.5,-27516.0,0.963
auto,2025,12,1711,24.4,-48392.0,0.939
auto,2026,1,1468,27.0,170204.0,1.257
auto,2026,2,1512,18.9,-124964.0,0.836
auto,2026,3,1516,19.0,-81452.0,0.893
auto,2026,4,697,15.5,-113484.0,0.69
strict,2023,7,217,27.6,-15874.0,0.686
strict,2023,8,945,31.1,-40490.0,0.807
strict,2023,9,903,32.8,-32166.0,0.835
strict,2023,10,941,37.4,13798.0,1.073
strict,2023,11,1012,36.4,5386.0,1.026
strict,2023,12,804,34.3,-10338.0,0.938
strict,2024,1,945,44.2,71910.0,1.424
strict,2024,2,1008,33.8,-18126.0,0.916
strict,2024,3,944,39.4,30332.0,1.165
strict,2024,4,921,29.8,-54662.0,0.737
strict,2024,5,1053,32.0,-39316.0,0.828
strict,2024,6,1014,33.5,-20508.0,0.906
strict,2024,7,1046,38.4,24638.0,1.119
strict,2024,8,973,39.1,28694.0,1.15
strict,2024,9,877,35.5,-2494.0,0.986
strict,2024,10,995,32.4,-30590.0,0.859
strict,2024,11,807,27.1,-62754.0,0.669
strict,2024,12,938,34.8,-8686.0,0.956
strict,2025,1,882,32.3,-27504.0,0.857
strict,2025,2,938,26.8,-75886.0,0.657
strict,2025,3,796,31.9,-27712.0,0.841
strict,2025,4,873,34.9,-6606.0,0.964
strict,2025,5,904,33.2,-21588.0,0.889
strict,2025,6,973,37.3,13394.0,1.068
strict,2025,7,881,32.1,-29532.0,0.846
strict,2025,8,934,34.2,-13648.0,0.931
strict,2025,9,1045,31.9,-39390.0,0.828
strict,2025,10,1155,35.7,-1110.0,0.995
strict,2025,11,794,32.4,-24368.0,0.859
strict,2025,12,960,34.7,-13970.0,0.931
strict,2026,1,820,32.3,-25240.0,0.859
strict,2026,2,888,37.8,16464.0,1.093
strict,2026,3,742,41.4,37376.0,1.267
strict,2026,4,434,37.1,5152.0,1.059
