year,month,n,win_rate,pnl_yen,pf
2023,8,185,10.8,-59470.0,0.403
2023,9,165,32.7,12270.0,1.186
2023,10,240,27.9,-3080.0,0.971
2023,11,294,58.5,266082.0,4.544
2023,12,193,35.8,23054.0,1.32
2024,1,251,43.8,112528.0,2.32
2024,2,247,26.7,18066.0,1.167
2024,3,42,28.6,276.0,1.015
2024,4,242,21.9,-24.0,1.0
2024,5,228,36.4,61284.0,1.683
2024,6,197,22.3,-17834.0,0.813
2024,8,163,8.6,-60186.0,0.351
2024,9,225,32.0,21250.0,1.225
2024,10,316,32.3,100898.0,1.758
2024,11,177,35.0,73556.0,2.028
2024,12,260,38.1,64580.0,1.654
2025,1,257,57.6,221696.0,4.27
2025,2,214,19.6,-39908.0,0.595
2025,3,39,33.3,9192.0,1.583
2025,4,244,27.5,39832.0,1.363
2025,5,210,21.9,-21120.0,0.792
2025,6,202,38.1,58956.0,1.778
2025,8,186,34.4,39358.0,1.53
2025,9,219,29.2,29882.0,1.312
2025,10,288,27.8,40914.0,1.317
2025,11,284,26.8,39702.0,1.307
2025,12,203,14.8,-58216.0,0.442
2026,1,182,52.7,162696.0,4.042
2026,2,237,21.9,8586.0,1.075
2026,3,16,12.5,-3952.0,0.546
2026,4,126,25.4,13678.0,1.234
