year,month,n,win_rate,pnl_yen,pf
2023,10,61,42.6,30358.0,2.394
2023,11,36,36.1,11958.0,1.836
2023,12,67,53.7,43726.0,3.372
2024,1,62,40.3,31136.0,2.353
2024,2,36,22.2,1608.0,1.092
2024,3,42,28.6,276.0,1.015
2024,4,46,34.8,16788.0,1.9
2024,10,51,15.7,-7722.0,0.711
2024,11,32,21.9,1096.0,1.07
2024,12,36,11.1,-13842.0,0.305
2025,1,48,25.0,4594.0,1.205
2025,2,31,35.5,4418.0,1.37
2025,3,39,33.3,9192.0,1.583
2025,4,39,20.5,-1408.0,0.927
2025,10,41,29.3,6248.0,1.346
2025,11,28,14.3,-5416.0,0.637
2025,12,48,12.5,-11856.0,0.546
2026,1,41,31.7,12598.0,1.723
2026,2,30,36.7,14340.0,2.213
2026,3,16,12.5,-3952.0,0.546
2026,4,12,16.7,-1464.0,0.765
