combo,n,down_big_rate_pct,base_rate_pct,edge_pct,avg_down_move,median_down_move
far_above_ma20 + roc5_ge_0_5 + hour_13_15,109,80.73,23.46,57.28,-372.06,-175.0
far_above_ma20 + macd_hist_down + close_down_big,93,79.57,23.46,56.11,-205.54,-170.0
rsi_ge_70 + roc5_ge_0_5 + hour_13_15,80,78.75,23.46,55.29,-397.69,-175.0
far_above_ma20 + macd_positive_but_weakening + close_down_big,88,78.41,23.46,54.95,-207.9,-170.0
cci_ge_150 + roc5_ge_0_5 + hour_13_15,108,77.78,23.46,54.32,-340.46,-157.5
far_above_ma20 + bb_upper_2_touch + hour_13_15,81,77.78,23.46,54.32,-324.44,-160.0
far_above_ma20 + close_down_big,112,77.68,23.46,54.22,-205.09,-155.0
far_above_ma20 + bear_bar + close_down_big,112,77.68,23.46,54.22,-205.09,-155.0
far_above_ma20 + close_down + close_down_big,112,77.68,23.46,54.22,-205.09,-155.0
far_above_ma20 + cci_ge_150 + hour_13_15,110,77.27,23.46,53.82,-370.36,-162.5
far_above_ma20 + cci_falling + close_down_big,110,77.27,23.46,53.82,-207.14,-157.5
far_above_ma20 + roc5_turn_down + close_down_big,108,76.85,23.46,53.4,-197.78,-155.0
far_above_ma20 + bb_width_wide + close_down_big,90,76.67,23.46,53.21,-212.72,-162.5
far_above_ma20 + body_large + close_down_big,88,76.14,23.46,52.68,-190.85,-155.0
roc5_ge_1 + hour_9_10,124,75.81,23.46,52.35,-197.5,-172.5
roc5_ge_0_5 + roc5_ge_1 + hour_9_10,124,75.81,23.46,52.35,-197.5,-172.5
far_above_ma20 + roc5_ge_1 + hour_9_10,103,75.73,23.46,52.27,-196.46,-160.0
cci_ge_100 + roc5_ge_1 + hour_9_10,98,75.51,23.46,52.05,-197.24,-165.0
bb_width_wide + roc5_ge_1 + hour_9_10,101,75.25,23.46,51.79,-202.43,-175.0
ma20_down + roc5_ge_0_5 + roc5_turn_down,104,75.0,23.46,51.54,-128.8,-130.0
roc5_ge_0_5 + vol_ratio_ge_1_2 + hour_13_15,88,75.0,23.46,51.54,-266.99,-145.0
roc5_ge_1 + close_up + hour_9_10,94,74.47,23.46,51.01,-195.11,-175.0
stoch_overbought + roc5_ge_1 + hour_9_10,93,74.19,23.46,50.74,-197.31,-175.0
roc5_ge_1 + bull_bar + hour_9_10,93,74.19,23.46,50.74,-195.91,-175.0
far_above_ma20 + high_break_3 + hour_13_15,116,74.14,23.46,50.68,-320.86,-155.0
far_above_ma20 + roc5_ge_0_5 + atr_low,96,73.96,23.46,50.5,-170.62,-152.5
far_above_ma20 + body_large + hour_13_15,96,73.96,23.46,50.5,-301.56,-127.5
far_above_ma20 + atr_low + hour_9_10,99,73.74,23.46,50.28,-144.55,-120.0
cci_ge_100 + roc5_ge_0_5 + hour_13_15,153,73.2,23.46,49.75,-317.42,-150.0
far_above_ma20 + gap_down + late_night,182,72.53,23.46,49.07,-200.3,-125.0
roc5_ge_1 + atr_high + hour_9_10,87,72.41,23.46,48.96,-190.86,-155.0
roc5_ge_1 + vol_ratio_ge_1_2 + hour_9_10,104,72.12,23.46,48.66,-195.96,-155.0
roc5_ge_0_5 + gap_up + hour_13_15,93,72.04,23.46,48.59,-336.61,-160.0
roc5_ge_1 + vol_ratio_ge_1_5 + hour_9_10,92,71.74,23.46,48.28,-184.46,-155.0
below_ma50 + far_above_ma20 + stoch_overbought,123,71.54,23.46,48.09,-151.79,-120.0
far_below_ma20 + vol_ratio_ge_1_2 + close_up_big,101,71.29,23.46,47.83,-219.21,-160.0
below_ma50 + roc5_ge_0_5 + roc5_turn_down,118,71.19,23.46,47.73,-122.97,-120.0
bb_width_wide + roc5_ge_0_5 + hour_13_15,118,71.19,23.46,47.73,-276.1,-140.0
stoch_overbought + roc5_ge_0_5 + hour_13_15,152,71.05,23.46,47.6,-315.49,-145.0
macd_hist_down + cci_ge_100 + close_down_big,93,70.97,23.46,47.51,-170.48,-135.0
cci_ge_100 + close_down_big,117,70.94,23.46,47.48,-183.03,-135.0
cci_ge_100 + bear_bar + close_down_big,117,70.94,23.46,47.48,-183.03,-135.0
cci_ge_100 + close_down + close_down_big,117,70.94,23.46,47.48,-183.03,-135.0
ma20_down + roc5_ge_0_5 + upper_wick_long,89,70.79,23.46,47.33,-157.53,-110.0
cci_ge_100 + cci_falling + close_down_big,116,70.69,23.46,47.23,-183.88,-140.0
cci_ge_100 + roc5_turn_down + close_down_big,115,70.43,23.46,46.98,-180.09,-130.0
far_above_ma20 + gap_down + hour_13_15,98,70.41,23.46,46.95,-189.9,-127.5
ma50_down + roc5_ge_1 + bull_bar,91,70.33,23.46,46.87,-190.0,-150.0
far_above_ma20 + close_up + hour_13_15,160,70.0,23.46,46.54,-320.62,-142.5
far_below_ma20 + atr_high + close_up_big,110,70.0,23.46,46.54,-191.68,-162.5
cci_falling + close_up_big,80,70.0,23.46,46.54,-214.62,-125.0
cci_falling + bull_bar + close_up_big,80,70.0,23.46,46.54,-214.62,-125.0
cci_falling + close_up + close_up_big,80,70.0,23.46,46.54,-214.62,-125.0
far_above_ma20 + vol_ratio_ge_1_2 + hour_13_15,103,69.9,23.46,46.45,-261.75,-115.0
far_above_ma20 + bull_bar + hour_13_15,145,69.66,23.46,46.2,-292.97,-130.0
below_ma20 + close_up_big + monday,92,69.57,23.46,46.11,-235.6,-175.0
below_ma50 + far_above_ma20 + cci_ge_100,105,69.52,23.46,46.07,-146.14,-115.0
ma50_down + below_ma50 + far_above_ma20,144,69.44,23.46,45.99,-151.6,-117.5
