combo,n,down_big_rate_pct,base_rate_pct,edge_pct,avg_down_move,median_down_move
close_down_big,2163,53.26,23.46,29.8,-142.43,-85.0
close_up_big,1990,52.51,23.46,29.06,-141.77,-85.0
roc5_ge_0_5,4150,42.55,23.46,19.1,-112.34,-65.0
far_below_ma20,7095,39.89,23.46,16.43,-102.71,-55.0
roc5_ge_1,1617,39.58,23.46,16.12,-103.7,-55.0
vol_ratio_ge_2_0,14360,39.09,23.46,15.63,-97.23,-55.0
hour_9_10,16532,39.05,23.46,15.6,-81.7,-60.0
bb_upper_3_touch,1074,37.52,23.46,14.07,-98.8,-55.0
far_above_ma20,6584,37.3,23.46,13.85,-96.81,-55.0
vol_ratio_ge_1_5,26766,34.63,23.46,11.17,-90.4,-50.0
atr_high,32759,32.98,23.46,9.53,-82.26,-50.0
vol_ratio_ge_1_2,42132,31.66,23.46,8.2,-84.28,-45.0
bb_lower_2_touch,9855,31.24,23.46,7.79,-80.9,-45.0
bb_width_wide,50773,28.56,23.46,5.1,-71.91,-40.0
hour_13_15,21454,28.47,23.46,5.01,-89.72,-40.0
bb_upper_2_touch,9440,28.32,23.46,4.86,-80.51,-40.0
rsi_le_30,22615,27.75,23.46,4.3,-72.74,-40.0
low_break_3,21825,27.18,23.46,3.72,-72.39,-40.0
gap_down,69210,27.02,23.46,3.56,-70.2,-40.0
cci_ge_150,14709,26.79,23.46,3.34,-76.02,-40.0
late_night,41391,26.5,23.46,3.04,-72.88,-40.0
friday,33637,25.09,23.46,1.64,-65.49,-40.0
high_break_3,23876,24.75,23.46,1.29,-67.62,-40.0
close_down,73071,24.72,23.46,1.26,-65.89,-35.0
bear_bar,72084,24.63,23.46,1.17,-65.81,-35.0
below_ma20,79771,24.49,23.46,1.04,-65.3,-35.0
ma20_down,78488,24.48,23.46,1.02,-64.79,-35.0
below_ma50,80579,24.08,23.46,0.62,-63.94,-35.0
cci_ge_100,35486,24.0,23.46,0.55,-68.63,-35.0
rsi_ge_75,17137,23.99,23.46,0.53,-66.96,-35.0
macd_below_signal,83244,23.85,23.46,0.39,-65.16,-35.0
close_up,75644,23.83,23.46,0.37,-65.04,-35.0
ma50_down,80752,23.69,23.46,0.23,-62.98,-35.0
monday,32343,23.63,23.46,0.17,-66.1,-35.0
cci_falling,83259,23.56,23.46,0.1,-64.35,-35.0
roc5_turn_down,83082,23.51,23.46,0.06,-64.09,-35.0
bull_bar,74607,23.51,23.46,0.05,-64.05,-35.0
macd_hist_down,83757,23.5,23.46,0.04,-63.85,-35.0
rsi_ge_70,26458,23.44,23.46,-0.01,-66.76,-35.0
body_small,50122,23.42,23.46,-0.04,-63.39,-35.0
stoch_dead,33957,23.36,23.46,-0.1,-62.82,-35.0
macd_positive_but_weakening,49885,22.83,23.46,-0.63,-63.28,-35.0
body_large,60384,22.64,23.46,-0.82,-62.39,-35.0
lower_wick_long,47246,22.52,23.46,-0.93,-61.67,-35.0
stoch_overbought,44441,22.31,23.46,-1.15,-63.59,-35.0
upper_wick_long,44684,22.0,23.46,-1.46,-60.51,-35.0
gap_up,74039,21.54,23.46,-1.91,-61.88,-35.0
hour_11_12,16534,21.19,23.46,-2.26,-54.68,-40.0
atr_low,31315,20.25,23.46,-3.21,-53.59,-35.0
gap_flat,11854,19.71,23.46,-3.75,-53.97,-30.0
night_open,18533,16.11,23.46,-7.34,-46.93,-30.0
