期間,区分,PF,勝率,Long①,Long④,Short③,Short⑤,件数,期待値pt,損益pt,損益円
本日,実運用,1.061,22.0,13,0,28,0,41,3.04,124.8,1248
本日,BT(CSV),1.051,21.6,13,0,38,0,51,2.51,127.8,1278
本日,BT(XLSX),1.078,22.0,13,0,37,0,50,3.8,190.0,1900
本日,差分,0.01,0.4,0,0,-10,0,-10,0.53,-3.0,-30
昨日,実運用,0.238,5.9,17,0,0,0,17,-45.73,-777.4,-7774
昨日,BT(CSV),0.283,6.9,29,0,0,0,29,-41.51,-1203.8,-12038
昨日,BT(XLSX),0.294,7.1,28,0,0,0,28,-40.77,-1141.6,-11416
昨日,差分,-0.045,-1.0,-12,0,0,0,-12,-4.22,426.4,4264
5日,実運用,0.658,18.4,50,0,64,0,114,-21.94,-2500.8,-25008
5日,BT(CSV),0.778,16.9,49,0,93,0,142,-11.5,-1632.4,-16324
5日,BT(XLSX),0.791,17.1,48,0,92,0,140,-10.77,-1508.0,-15080
5日,差分,-0.12,1.5,1,0,-29,0,-28,-10.44,-868.4,-8684
10日,実運用,0.758,19.9,50,0,106,0,156,-14.73,-2298.2,-22982
10日,BT(CSV),0.976,20.3,126,0,163,1,290,-1.17,-338.0,-3380
10日,BT(XLSX),0.985,20.5,125,0,162,1,288,-0.74,-213.6,-2136
10日,差分,-0.218,-0.4,-76,0,-57,-1,-134,-13.56,-1960.2,-19602
20日,実運用,0.944,23.2,99,0,250,0,349,-3.06,-1067.8,-10678
20日,BT(CSV),1.452,27.6,175,0,414,2,591,20.34,12019.8,120198
20日,BT(XLSX),1.458,27.7,174,0,413,2,589,20.62,12144.2,121442
20日,差分,-0.508,-4.4,-76,0,-164,-2,-242,-23.4,-13087.6,-130876
40日,実運用,0.951,22.8,225,0,421,0,646,-2.6,-1681.2,-16812
40日,BT(CSV),1.544,29.1,358,1,792,9,1160,23.81,27623.0,276230
40日,BT(XLSX),1.548,29.1,357,1,791,9,1158,23.96,27747.4,277474
40日,差分,-0.593,-6.3,-133,-1,-371,-9,-514,-26.41,-29304.2,-293042
80日,実運用,0.951,22.8,225,0,421,0,646,-2.6,-1681.2,-16812
80日,BT(CSV),1.441,28.1,445,19,1562,20,2046,19.65,40193.8,401938
80日,BT(XLSX),1.443,28.1,444,19,1561,20,2044,19.73,40318.2,403182
80日,差分,-0.49,-5.3,-220,-19,-1141,-20,-1400,-22.25,-41875.0,-418750
