combo,n,win_rate,pnl,pf
bb3_touch_15m + macd_golden_cross_15m + break_prev_high,10,60.0,285.0,2.748
bb3_touch_15m + macd_golden_cross_15m + break_2bar_high,10,60.0,285.0,2.748
bb3_touch_15m + macd_golden_cross_60m + break_prev_high,5,60.0,85.0,2.232
bb3_touch_15m + macd_golden_cross_60m + break_2bar_high,5,60.0,85.0,2.232
bb3_touch_15m + macd_above_signal_60m + break_prev_high,38,47.37,249.0,1.217
bb3_touch_15m + macd_above_signal_60m + break_2bar_high,38,47.37,249.0,1.217
bb3_touch_15m + macd_hist_up_15m + break_prev_high,37,45.95,141.0,1.143
bb3_touch_15m + macd_hist_up_15m + break_2bar_high,37,45.95,141.0,1.143
bb_width_expand_60m + macd_golden_cross_15m + break_prev_high,22,40.91,61.0,1.1
bb3_touch_15m + macd_above_signal_15m + break_2bar_high,49,46.94,132.0,1.099
bb3_touch_15m + macd_positive_30m + break_prev_high,49,44.9,117.0,1.08
bb3_touch_15m + macd_positive_30m + break_2bar_high,49,44.9,117.0,1.08
bb_width_expand_30m + macd_golden_cross_15m + break_prev_high,24,37.5,47.0,1.072
bb3_touch_15m + macd_above_signal_15m + break_prev_high,50,46.0,70.0,1.05
bb3_touch_15m + macd_hist_up_30m + break_prev_high,28,42.86,24.0,1.033
bb3_touch_15m + macd_hist_up_30m + break_2bar_high,28,42.86,24.0,1.033
bb3_touch_15m + macd_hist_up_60m + break_prev_high,28,42.86,24.0,1.033
bb3_touch_15m + macd_hist_up_60m + break_2bar_high,28,42.86,24.0,1.033
bb2_touch_15m + macd_golden_cross_60m + break_prev_high,9,44.44,-3.0,0.988
bb2_touch_15m + macd_golden_cross_60m + break_2bar_high,9,44.44,-3.0,0.988
bb3_touch_15m + macd_positive_15m + break_prev_high,57,47.37,-34.0,0.981
bb3_touch_15m + macd_positive_15m + break_2bar_high,57,47.37,-34.0,0.981
bb_upper_zone_60m + macd_hist_up_2_15m + break_prev_high,6,33.33,-7.0,0.966
bb_upper_zone_60m + macd_hist_up_2_15m + break_2bar_high,6,33.33,-7.0,0.966
bb2_touch_60m + macd_hist_up_15m + break_2bar_high,60,41.67,-75.0,0.955
bb2_touch_60m + macd_hist_up_15m + break_prev_high,62,41.94,-104.0,0.94
bb2_touch_60m + macd_hist_up_30m + break_prev_high,52,40.38,-139.0,0.905
bb2_touch_15m + macd_hist_up_60m + break_2bar_high,56,35.71,-222.0,0.868
bb_width_expand_15m + macd_golden_cross_15m + break_prev_high,37,35.14,-164.0,0.86
bb3_touch_15m + macd_positive_60m + break_2bar_high,74,41.89,-328.0,0.86
bb2_touch_15m + macd_hist_up_30m + break_2bar_high,65,38.46,-295.0,0.852
bb_width_expand_60m + macd_golden_cross_15m + break_2bar_high,20,35.0,-95.0,0.845
bb2_touch_60m + macd_hist_up_30m + break_2bar_high,44,38.64,-198.0,0.843
bb_upper_zone_60m + macd_golden_cross_60m + break_2bar_high,16,37.5,-67.0,0.84
bb3_touch_15m + macd_above_signal_30m + break_prev_high,59,44.07,-298.0,0.84
bb3_touch_15m + macd_above_signal_30m + break_2bar_high,59,44.07,-298.0,0.84
bb2_touch_15m + macd_hist_up_60m + break_prev_high,57,35.09,-284.0,0.838
bb3_touch_15m + macd_positive_60m + break_prev_high,75,41.33,-390.0,0.838
bb_width_expand_30m + macd_golden_cross_15m + break_2bar_high,22,31.82,-109.0,0.834
bb2_touch_15m + macd_hist_up_30m + break_prev_high,67,37.31,-419.0,0.802
bb_pullback_zone_60m + macd_golden_cross_15m + break_prev_high,38,36.84,-246.0,0.795
bb2_touch_60m + macd_hist_up_2_15m + break_prev_high,3,33.33,-26.0,0.79
bb2_touch_60m + macd_hist_up_2_15m + break_2bar_high,3,33.33,-26.0,0.79
bb_upper_zone_60m + macd_hist_up_30m + break_prev_high,166,36.75,-1062.0,0.789
bb_width_expand_30m + macd_hist_up_15m + break_prev_high,188,35.11,-1206.0,0.773
bb_width_expand_15m + macd_golden_cross_15m + break_2bar_high,34,32.35,-258.0,0.767
bb_upper_zone_60m + macd_golden_cross_60m + break_prev_high,18,38.89,-116.0,0.759
bb_upper_zone_60m + macd_hist_up_30m + break_2bar_high,144,36.11,-1098.0,0.75
bb_width_expand_30m + macd_hist_up_15m + break_2bar_high,176,34.09,-1302.0,0.741
bb_width_expand_15m + macd_hist_up_2_15m + break_prev_high,7,28.57,-69.0,0.74
bb_width_expand_15m + macd_hist_up_2_15m + break_2bar_high,7,28.57,-69.0,0.74
bb_upper_zone_15m + macd_golden_cross_15m + break_prev_high,34,32.35,-288.0,0.74
bb_width_expand_60m + macd_hist_up_30m + break_prev_high,119,36.13,-973.0,0.738
bb_pullback_zone_15m + macd_golden_cross_15m + break_prev_high,27,37.04,-249.0,0.725
bb_pullback_zone_30m + macd_golden_cross_15m + break_prev_high,49,34.69,-473.0,0.701
bb_width_expand_30m + macd_hist_up_30m + break_prev_high,212,34.43,-1969.0,0.701
bb_pullback_zone_60m + macd_golden_cross_15m + break_2bar_high,34,32.35,-343.0,0.698
bb_upper_zone_15m + macd_hist_up_30m + break_prev_high,150,34.67,-1465.0,0.695
bb_upper_zone_60m + macd_golden_cross_15m + break_prev_high,27,37.04,-259.0,0.691
bb_upper_zone_60m + macd_golden_cross_15m + break_2bar_high,26,34.62,-262.0,0.688
