n,win_rate,pnl,pf,max_dd,stop,tp,bars,skip11,skip12
259,43.2,5730.0,1.445,-2050.0,100,300,4,False,False
259,43.2,5730.0,1.445,-2050.0,100,300,4,False,True
259,43.2,5730.0,1.445,-2050.0,100,300,4,True,False
259,43.2,5730.0,1.445,-2050.0,100,300,4,True,True
259,44.0,5600.0,1.441,-1810.0,100,250,4,False,False
259,44.0,5600.0,1.441,-1810.0,100,250,4,False,True
259,44.0,5600.0,1.441,-1810.0,100,250,4,True,False
259,44.0,5600.0,1.441,-1810.0,100,250,4,True,True
259,41.7,6230.0,1.438,-2320.0,100,300,6,False,False
259,41.7,6230.0,1.438,-2320.0,100,300,6,False,True
259,41.7,6230.0,1.438,-2320.0,100,300,6,True,False
259,41.7,6230.0,1.438,-2320.0,100,300,6,True,True
259,35.1,5760.0,1.435,-1650.0,80,250,10,False,False
259,35.1,5760.0,1.435,-1650.0,80,250,10,False,True
259,35.1,5760.0,1.435,-1650.0,80,250,10,True,False
259,35.1,5760.0,1.435,-1650.0,80,250,10,True,True
259,39.8,5010.0,1.429,-1290.0,80,250,4,False,False
259,39.8,5010.0,1.429,-1290.0,80,250,4,False,True
259,39.8,5010.0,1.429,-1290.0,80,250,4,True,False
259,39.8,5010.0,1.429,-1290.0,80,250,4,True,True
259,35.1,5570.0,1.423,-1720.0,80,250,8,False,False
259,35.1,5570.0,1.423,-1720.0,80,250,8,False,True
259,35.1,5570.0,1.423,-1720.0,80,250,8,True,False
259,35.1,5570.0,1.423,-1720.0,80,250,8,True,True
259,42.5,5840.0,1.416,-2190.0,100,250,6,False,False
259,42.5,5840.0,1.416,-2190.0,100,250,6,False,True
259,42.5,5840.0,1.416,-2190.0,100,250,6,True,False
259,42.5,5840.0,1.416,-2190.0,100,250,6,True,True
259,33.6,5600.0,1.415,-1670.0,80,300,8,False,False
259,33.6,5600.0,1.415,-1670.0,80,300,8,False,True
259,33.6,5600.0,1.415,-1670.0,80,300,8,True,False
259,33.6,5600.0,1.415,-1670.0,80,300,8,True,True
259,38.6,6270.0,1.411,-2140.0,100,300,8,False,False
259,38.6,6270.0,1.411,-2140.0,100,300,8,False,True
259,38.6,6270.0,1.411,-2140.0,100,300,8,True,False
259,38.6,6270.0,1.411,-2140.0,100,300,8,True,True
259,38.6,4760.0,1.399,-1490.0,80,300,4,False,False
259,38.6,4760.0,1.399,-1490.0,80,300,4,False,True
259,38.6,4760.0,1.399,-1490.0,80,300,4,True,False
259,38.6,4760.0,1.399,-1490.0,80,300,4,True,True
259,36.7,5040.0,1.396,-1690.0,80,250,6,False,False
259,36.7,5040.0,1.396,-1690.0,80,250,6,False,True
259,36.7,5040.0,1.396,-1690.0,80,250,6,True,False
259,36.7,5040.0,1.396,-1690.0,80,250,6,True,True
259,32.8,5360.0,1.393,-1600.0,80,300,10,False,False
259,32.8,5360.0,1.393,-1600.0,80,300,10,False,True
259,32.8,5360.0,1.393,-1600.0,80,300,10,True,False
259,32.8,5360.0,1.393,-1600.0,80,300,10,True,True
259,45.6,5530.0,1.392,-1880.0,120,300,4,False,False
259,45.6,5530.0,1.392,-1880.0,120,300,4,False,True
259,45.6,5530.0,1.392,-1880.0,120,300,4,True,False
259,45.6,5530.0,1.392,-1880.0,120,300,4,True,True
259,45.2,4900.0,1.392,-1310.0,100,200,4,False,False
259,45.2,4900.0,1.392,-1310.0,100,200,4,False,True
259,45.2,4900.0,1.392,-1310.0,100,200,4,True,False
259,45.2,4900.0,1.392,-1310.0,100,200,4,True,True
259,39.4,5860.0,1.384,-2130.0,100,250,10,False,False
259,39.4,5860.0,1.384,-2130.0,100,250,10,False,True
259,39.4,5860.0,1.384,-2130.0,100,250,10,True,False
259,39.4,5860.0,1.384,-2130.0,100,250,10,True,True
259,40.9,4360.0,1.381,-950.0,80,200,4,False,False
259,40.9,4360.0,1.381,-950.0,80,200,4,False,True
259,40.9,4360.0,1.381,-950.0,80,200,4,True,False
259,40.9,4360.0,1.381,-950.0,80,200,4,True,True
259,39.8,5670.0,1.379,-2190.0,100,250,8,False,False
259,39.8,5670.0,1.379,-2190.0,100,250,8,False,True
259,39.8,5670.0,1.379,-2190.0,100,250,8,True,False
259,39.8,5670.0,1.379,-2190.0,100,250,8,True,True
259,46.3,5250.0,1.376,-1740.0,120,250,4,False,False
259,46.3,5250.0,1.376,-1740.0,120,250,4,False,True
259,46.3,5250.0,1.376,-1740.0,120,250,4,True,False
259,46.3,5250.0,1.376,-1740.0,120,250,4,True,True
259,35.5,4840.0,1.373,-1780.0,80,300,6,False,False
259,35.5,4840.0,1.373,-1780.0,80,300,6,False,True
259,35.5,4840.0,1.373,-1780.0,80,300,6,True,False
259,35.5,4840.0,1.373,-1780.0,80,300,6,True,True
259,37.1,5800.0,1.37,-2080.0,100,300,10,False,False
259,37.1,5800.0,1.37,-2080.0,100,300,10,False,True
259,37.1,5800.0,1.37,-2080.0,100,300,10,True,False
259,37.1,5800.0,1.37,-2080.0,100,300,10,True,True
259,37.1,4630.0,1.361,-1200.0,80,200,10,False,False
259,37.1,4630.0,1.361,-1200.0,80,200,10,False,True
259,37.1,4630.0,1.361,-1200.0,80,200,10,True,False
259,37.1,4630.0,1.361,-1200.0,80,200,10,True,True
259,44.0,5640.0,1.35,-2480.0,120,300,6,False,False
259,44.0,5640.0,1.35,-2480.0,120,300,6,False,True
259,44.0,5640.0,1.35,-2480.0,120,300,6,True,False
259,44.0,5640.0,1.35,-2480.0,120,300,6,True,True
259,41.3,5890.0,1.346,-2300.0,120,300,8,False,False
259,41.3,5890.0,1.346,-2300.0,120,300,8,False,True
259,41.3,5890.0,1.346,-2300.0,120,300,8,True,False
259,41.3,5890.0,1.346,-2300.0,120,300,8,True,True
259,37.1,4420.0,1.346,-1210.0,80,200,8,False,False
259,37.1,4420.0,1.346,-1210.0,80,200,8,False,True
259,37.1,4420.0,1.346,-1210.0,80,200,8,True,False
259,37.1,4420.0,1.346,-1210.0,80,200,8,True,True
259,45.9,4210.0,1.341,-1090.0,100,180,4,False,False
259,45.9,4210.0,1.341,-1090.0,100,180,4,False,True
259,45.9,4210.0,1.341,-1090.0,100,180,4,True,False
259,45.9,4210.0,1.341,-1090.0,100,180,4,True,True
259,43.6,4590.0,1.334,-1690.0,100,200,6,False,False
259,43.6,4590.0,1.334,-1690.0,100,200,6,False,True
259,43.6,4590.0,1.334,-1690.0,100,200,6,True,False
259,43.6,4590.0,1.334,-1690.0,100,200,6,True,True
259,41.7,3790.0,1.334,-870.0,80,180,4,False,False
259,41.7,3790.0,1.334,-870.0,80,180,4,False,True
259,41.7,3790.0,1.334,-870.0,80,180,4,True,False
259,41.7,3790.0,1.334,-870.0,80,180,4,True,True
259,41.7,4890.0,1.333,-1580.0,100,200,10,False,False
259,41.7,4890.0,1.333,-1580.0,100,200,10,False,True
259,41.7,4890.0,1.333,-1580.0,100,200,10,True,False
259,41.7,4890.0,1.333,-1580.0,100,200,10,True,True
