combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,31,100.0,-609.68,-760.81,-405.0,-590.0,-696.13
3,cat_dist_ma20=far_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=13:00-13:15,32,90.62,80.47,-167.66,57.5,-100.0,-73.28
3,cat_dist_ma20=far_below & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=09:30-09:45,30,90.0,78.5,-112.0,70.0,-97.5,-11.0
3,cat_dist_ma20=far_above & cat_body_ratio=body_mid & time_bucket_15m=08:45-09:00,30,90.0,134.33,-169.0,85.0,-115.0,-20.67
3,cat_dist_ma20=far_below & cat_body_ratio=body_mid & time_bucket_15m=09:45-10:00,38,89.47,96.32,-111.71,75.0,-90.0,-14.74
3,cat_prev_day_change=prev_big_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,34,88.24,-403.53,-556.03,-300.0,-467.5,-468.68
3,cat_body_ratio=body_small & cat_prev_day_change=prev_big_down & time_bucket_15m=08:45-09:00,76,88.16,88.16,-158.29,52.5,-107.5,-58.16
3,cat_dist_ma20=far_below & time_bucket_15m=08:45-09:00 & weekday=Monday,41,87.8,219.02,-159.88,125.0,-115.0,39.39
3,cat_dist_ma20=far_below & time_bucket_15m=09:00-09:15 & weekday=Monday,49,87.76,118.67,-184.29,75.0,-130.0,-35.31
3,flag_break_prev_high=no_break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,32,87.5,199.38,-185.31,137.5,-125.0,37.66
3,cat_dist_ma20=far_above & flag_hold_prev_high=hold_prev_high & time_bucket_15m=08:45-09:00,32,87.5,128.44,-164.38,87.5,-110.0,10.47
3,cat_dist_ma20=far_above & flag_bull=bull & time_bucket_15m=23:00-23:15,31,87.1,172.9,-164.19,50.0,-115.0,32.74
3,cat_trend=trend_mixed & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,31,87.1,-342.58,-458.87,-295.0,-385.0,-398.23
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_high & time_bucket_15m=23:00-23:15,30,86.67,134.17,-174.5,47.5,-125.0,-22.83
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & weekday=Wednesday,66,86.36,87.12,-125.83,65.0,-100.0,-26.59
3,cat_dist_ma20=far_above & flag_break_prev_high=no_break_prev_high & time_bucket_15m=08:45-09:00,51,86.27,148.53,-161.37,110.0,-115.0,16.76
3,cat_dist_ma20=far_above & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=09:00-09:15,57,85.96,113.6,-144.12,70.0,-110.0,-44.04
3,cat_dist_ma20=far_above & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,42,85.71,133.93,-123.69,90.0,-105.0,9.52
3,cat_dist_ma20=far_below & time_bucket_15m=01:00-01:15 & weekday=Monday,49,85.71,62.35,-89.29,50.0,-85.0,-20.92
3,cat_dist_ma20=far_below & cat_gap=gap_up & time_bucket_15m=09:45-10:00,35,85.71,80.29,-117.14,65.0,-95.0,-23.14
3,cat_gap=gap_flat & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,42,85.71,-331.31,-425.83,-192.5,-287.5,-387.14
3,cat_prev_day_change=prev_big_up & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,41,85.37,-322.32,-461.1,-190.0,-270.0,-397.44
3,cat_dist_ma20=far_above & flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00,34,85.29,126.47,-162.06,80.0,-110.0,-13.24
3,cat_rsi=rsi_midhigh & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,34,85.29,-376.91,-488.53,-227.5,-335.0,-431.76
3,flag_pullback_vol_weak=pullback_vol_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,40,85.0,177.5,-152.88,130.0,-107.5,33.75
3,cat_prev_day_change=prev_big_up & time_bucket_15m=09:00-09:15 & weekday=Friday,93,83.87,83.44,-98.23,60.0,-80.0,-0.91
3,cat_dist_ma20=far_below & cat_vol_ratio=vol_spike & cat_bb_ratio=bb_mid,31,83.87,130.65,-147.1,80.0,-125.0,-24.19
3,cat_rsi=rsi_low & cat_prev_day_change=prev_big_down & time_bucket_15m=23:30-23:45,68,83.82,71.03,-106.99,45.0,-95.0,-28.31
3,cat_dist_ma20=far_above & flag_bull=not_bull & time_bucket_15m=08:45-09:00,37,83.78,118.11,-188.38,70.0,-135.0,-31.22
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=09:00-09:15,80,83.75,139.94,-166.5,77.5,-132.5,4.69
3,cat_dist_ma20=far_below & cat_body_ratio=body_mid & time_bucket_15m=09:00-09:15,43,83.72,147.67,-135.47,75.0,-100.0,41.16
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=08:45-09:00,43,83.72,205.58,-199.53,165.0,-180.0,-4.88
3,cat_rsi=rsi_midlow & time_bucket_15m=09:00-09:15 & weekday=Monday,48,83.33,77.4,-72.6,32.5,-67.5,24.27
3,cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15 & weekday=Wednesday,54,83.33,115.83,-96.85,70.0,-85.0,16.02
3,cat_dist_ma20=far_above & cat_prev_day_change=prev_big_up & time_bucket_15m=09:30-09:45,30,83.33,64.33,-85.83,50.0,-72.5,-17.17
3,cat_dist_ma20=far_below & flag_bull=not_bull & time_bucket_15m=23:00-23:15,48,83.33,93.02,-118.54,85.0,-100.0,-23.33
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_mid & weekday=Wednesday,36,83.33,142.08,-211.94,90.0,-177.5,-24.44
