combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_gap=gap_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,51,100.0,625.2,-19.8,520.0,-15.0,558.14
3,cat_gap=gap_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,66,96.97,537.12,-42.27,447.5,-55.0,426.67
3,cat_gap=gap_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:00-15:15,89,91.01,498.37,-113.71,410.0,-55.0,388.31
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,35,85.71,450.0,310.14,330.0,175.0,373.0
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,103,84.47,464.32,-29.13,355.0,-15.0,377.14
3,cat_dist_ma20=far_below & flag_break_prev_low=break_prev_low & time_bucket_15m=23:15-23:30,31,83.87,452.1,-536.29,300.0,-345.0,-18.55
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45 & weekday=Thursday,79,83.54,487.97,-73.92,430.0,-20.0,383.61
3,cat_trend=trend_down & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,66,83.33,567.27,382.8,467.5,317.5,486.06
3,flag_break_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,63,82.54,532.94,324.37,450.0,275.0,429.92
3,flag_hold_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,63,82.54,532.94,324.37,450.0,275.0,429.92
3,flag_break_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,104,81.73,579.09,-68.61,450.0,-30.0,459.09
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_high & time_bucket_15m=23:45-24:00,32,81.25,629.53,-190.62,430.0,-80.0,363.44
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_squeeze & flag_hold_prev_high=break_prev_high,52,80.77,295.67,-250.87,292.5,-115.0,40.77
3,cat_dist_ma20=far_below & cat_rsi=rsi_midlow & cat_atr_ratio=atr_mid,31,80.65,295.97,-269.35,220.0,-220.0,48.23
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30 & weekday=Thursday,108,80.56,454.68,-22.55,410.0,-47.5,355.93
3,cat_vol_ratio=vol_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,77,80.52,642.01,407.53,505.0,335.0,527.08
3,cat_dist_ma20=far_above & cat_gap=gap_up & flag_above_prev_day_close=below_prev_day_close,51,80.39,465.78,-170.49,190.0,-130.0,263.04
3,cat_trend=trend_mixed & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,107,80.37,453.18,-53.41,340.0,-45.0,352.01
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,132,80.3,426.1,-10.61,315.0,-55.0,342.08
3,flag_break_prev_high=no_break_prev_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,76,80.26,530.86,329.74,435.0,282.5,428.55
3,flag_hold_prev_high=hold_prev_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,76,80.26,530.86,329.74,435.0,282.5,428.55
3,cat_gap=gap_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=14:45-15:00,96,80.21,416.25,-107.19,340.0,-57.5,312.71
3,cat_rsi=rsi_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,50,80.0,585.6,389.7,467.5,317.5,489.7
3,flag_pullback_vol_weak=pullback_vol_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,40,80.0,352.5,-280.75,265.0,-267.5,89.12
3,cat_rsi=rsi_low & cat_vol_ratio=vol_spike & time_bucket_15m=15:30-15:45,39,79.49,439.23,-121.67,365.0,-40.0,302.56
3,cat_dist_ma20=far_below & cat_atr_ratio=atr_high & time_bucket_15m=23:15-23:30,52,78.85,504.23,-503.17,335.0,-250.0,17.79
3,cat_rsi=rsi_midhigh & time_bucket_15m=23:15-23:30 & weekday=Monday,66,78.79,473.64,-135.08,375.0,-72.5,369.24
3,cat_dist_ma20=far_below & flag_hold_prev_high=hold_prev_high & time_bucket_15m=23:15-23:30,51,78.43,471.27,-515.39,310.0,-275.0,13.14
3,flag_pullback_2bar=pullback_2bar & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,86,77.91,562.15,367.91,450.0,300.0,453.49
3,cat_gap=gap_flat & cat_prev_day_change=prev_big_down & time_bucket_15m=23:00-23:15,63,77.78,244.92,-205.0,195.0,-115.0,83.89
3,cat_gap=gap_flat & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:00-15:15,231,77.49,378.35,-64.35,280.0,-25.0,312.6
3,flag_hold_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,172,77.33,551.08,-75.17,432.5,-30.0,436.89
3,cat_prev_day_change=prev_big_down & time_bucket_15m=23:00-23:15 & weekday=Thursday,57,77.19,356.93,-200.35,220.0,-85.0,137.63
3,cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15 & weekday=Thursday,57,77.19,221.4,-109.82,185.0,-65.0,65.18
3,cat_dist_ma20=far_below & flag_bull=not_bull & time_bucket_15m=23:15-23:30,48,77.08,442.19,-583.75,292.5,-380.0,-88.85
3,cat_rsi=rsi_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,156,76.92,520.42,-88.49,372.5,-27.5,402.66
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:00-15:15,199,76.88,398.19,-65.53,295.0,-45.0,310.68
2,cat_vol_ratio=vol_low & time_bucket_15m=06:00-06:15,43,76.74,289.77,-294.42,245.0,-185.0,-2.91
3,cat_vol_ratio=vol_low & flag_bull=not_bull & time_bucket_15m=06:00-06:15,43,76.74,289.77,-294.42,245.0,-185.0,-2.91
3,cat_vol_ratio=vol_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=06:00-06:15,43,76.74,289.77,-294.42,245.0,-185.0,-2.91
3,cat_prev_day_change=prev_up & flag_break_prev_low=break_prev_low & time_bucket_15m=15:30-15:45,30,76.67,427.0,-109.67,335.0,-27.5,291.5
