feature,value,n,strong_up_rate_pct,strong_down_rate_pct,edge_up_minus_down
time_bucket_15m,16:30-16:45,990,18.18,13.23,4.95
time_bucket_15m,22:15-22:30,2073,31.69,28.27,3.42
time_bucket_15m,05:45-06:00,2073,49.11,45.78,3.33
cat_dist_ma20,far_below,7095,43.09,39.89,3.2
time_bucket_15m,05:30-05:45,2073,26.53,24.02,2.51
time_bucket_15m,10:15-10:30,2070,35.17,33.19,1.98
time_bucket_15m,22:00-22:15,2073,22.53,20.6,1.93
time_bucket_15m,11:00-11:15,2070,25.27,23.43,1.84
time_bucket_15m,14:00-14:15,2070,22.13,20.34,1.79
time_bucket_15m,12:45-13:00,2070,24.15,22.42,1.74
time_bucket_15m,11:45-12:00,2070,13.14,11.69,1.45
time_bucket_15m,14:15-14:30,2070,22.32,21.01,1.3
time_bucket_15m,13:45-14:00,2070,20.92,19.66,1.26
time_bucket_15m,03:15-03:30,2073,14.18,13.12,1.06
time_bucket_15m,13:30-13:45,2070,20.39,19.71,0.68
time_bucket_15m,23:45-24:00,2070,50.0,49.37,0.63
time_bucket_15m,21:30-21:45,2073,15.48,14.91,0.58
time_bucket_15m,10:00-10:15,2070,37.92,37.39,0.53
time_bucket_15m,16:45-17:00,990,16.06,15.66,0.4
time_bucket_15m,11:30-11:45,2070,13.24,12.85,0.39
time_bucket_15m,09:15-09:30,2070,45.51,45.17,0.34
time_bucket_15m,21:15-21:30,2073,17.32,16.98,0.34
time_bucket_15m,19:45-20:00,2073,10.61,10.27,0.34
time_bucket_15m,06:00-06:15,691,57.02,56.73,0.29
time_bucket_15m,14:30-14:45,2070,26.23,25.99,0.24
time_bucket_15m,01:00-01:15,2073,19.73,19.49,0.24
cat_gap,gap_up,67282,21.87,21.68,0.19
time_bucket_15m,03:00-03:15,2073,14.57,14.52,0.05
flag_break_prev_low,break_prev_low,34707,25.93,25.97,-0.04
cat_trend,trend_down,65641,24.9,24.95,-0.05
cat_rsi,rsi_low,47824,25.46,25.55,-0.09
cat_prev_day_change,prev_down,38478,21.39,21.51,-0.12
time_bucket_15m,21:00-21:15,2073,16.64,16.79,-0.14
time_bucket_15m,04:30-04:45,2073,15.58,15.73,-0.14
flag_above_prev_day_close,below_prev_day_close,79253,24.68,24.95,-0.27
time_bucket_15m,09:00-09:15,2070,50.05,50.43,-0.39
time_bucket_15m,23:30-23:45,2070,55.8,56.23,-0.43
time_bucket_15m,13:00-13:15,2070,19.81,20.29,-0.48
time_bucket_15m,09:30-09:45,2070,42.37,43.0,-0.63
time_bucket_15m,12:30-12:45,2070,25.99,26.62,-0.63
