feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,08:45-09:00,2070,70.48,94.64,-97.17,70.0,-75.0,-0.82
time_bucket_15m,09:00-09:15,2070,66.14,79.95,-81.21,60.0,-60.0,0.69
time_bucket_15m,09:15-09:30,2070,61.84,67.29,-66.99,50.0,-50.0,0.25
time_bucket_15m,23:45-24:00,2070,58.84,192.06,-158.56,70.0,-65.0,28.57
time_bucket_15m,09:30-09:45,2070,57.58,60.23,-59.54,45.0,-45.0,2.25
time_bucket_15m,06:00-06:15,691,57.31,70.93,-58.64,50.0,-45.0,9.46
cat_dist_ma20,far_below,7095,56.55,79.85,-71.71,45.0,-40.0,7.63
time_bucket_15m,10:00-10:15,2070,55.65,55.49,-54.85,45.0,-40.0,1.56
time_bucket_15m,09:45-10:00,2070,53.91,57.76,-60.51,40.0,-45.0,-0.27
time_bucket_15m,10:15-10:30,2070,52.66,54.11,-54.98,40.0,-40.0,2.1
cat_vol_ratio,vol_spike,14392,51.81,63.09,-62.48,40.0,-40.0,2.06
time_bucket_15m,15:15-15:30,1412,51.27,47.37,-56.14,40.0,-35.0,-4.2
time_bucket_15m,10:30-10:45,2070,51.26,49.95,-49.05,40.0,-35.0,0.99
time_bucket_15m,15:30-15:45,1083,50.14,173.98,-197.08,40.0,-40.0,-20.9
time_bucket_15m,15:45-16:00,361,48.75,21.14,-102.11,25.0,-90.0,-42.78
time_bucket_15m,23:15-23:30,2070,47.68,50.64,-52.19,35.0,-35.0,1.28
cat_dist_ma20,far_above,6597,47.26,62.0,-70.39,35.0,-40.0,-4.57
time_bucket_15m,12:15-12:30,2070,45.07,45.19,-48.67,35.0,-35.0,-2.32
time_bucket_15m,23:30-23:45,2070,44.54,48.84,-52.16,35.0,-35.0,-0.57
time_bucket_15m,22:30-22:45,2073,44.52,45.0,-49.17,30.0,-35.0,-1.69
time_bucket_15m,11:00-11:15,2070,44.49,43.64,-42.62,35.0,-30.0,2.3
time_bucket_15m,22:15-22:30,2073,44.43,47.37,-45.57,35.0,-30.0,2.74
time_bucket_15m,10:45-11:00,2070,44.11,43.9,-49.81,30.0,-37.5,-4.35
cat_prev_day_change,prev_big_down,24109,43.98,55.87,-56.7,30.0,-30.0,0.76
time_bucket_15m,12:30-12:45,2070,43.38,43.5,-47.05,30.0,-35.0,-0.78
time_bucket_15m,22:45-23:00,2073,42.98,47.87,-50.74,30.0,-35.0,-0.32
time_bucket_15m,14:45-15:00,2070,42.95,44.48,-43.44,30.0,-35.0,1.65
time_bucket_15m,00:00-00:15,2073,42.69,43.98,-46.04,30.0,-30.0,-0.77
cat_atr_ratio,atr_high,52742,41.85,50.59,-51.36,30.0,-30.0,0.75
time_bucket_15m,05:45-06:00,2073,41.1,61.91,-59.77,25.0,-25.0,2.1
time_bucket_15m,12:45-13:00,2070,41.06,40.76,-42.99,30.0,-30.0,-0.45
cat_body_ratio,body_small,32938,40.8,46.93,-47.28,30.0,-30.0,0.84
flag_pullback_vol_weak,pullback_vol_not_weak,59279,40.71,50.33,-52.03,30.0,-30.0,-0.28
time_bucket_15m,15:00-15:15,2070,40.68,83.92,-93.46,30.0,-30.0,-8.14
time_bucket_15m,14:15-14:30,2070,39.76,39.88,-39.83,30.0,-30.0,1.01
cat_bb_ratio,bb_expand,71719,39.66,47.85,-48.6,30.0,-30.0,0.66
time_bucket_15m,14:30-14:45,2070,39.13,39.97,-39.55,30.0,-25.0,-0.02
flag_break_prev_low,break_prev_low,34707,38.95,46.17,-45.11,30.0,-25.0,2.08
time_bucket_15m,23:00-23:15,2070,38.79,42.69,-45.17,30.0,-30.0,-0.6
cat_rsi,rsi_low,47824,38.78,46.79,-45.43,30.0,-25.0,2.42
cat_vol_ratio,vol_high,27819,38.69,46.19,-48.13,30.0,-25.0,-0.7
time_bucket_15m,11:15-11:30,2070,38.41,37.61,-38.42,30.0,-25.0,-1.05
time_bucket_15m,00:15-00:30,2073,38.4,42.65,-44.1,30.0,-30.0,2.12
cat_gap,gap_down,62678,38.0,47.3,-47.24,25.0,-30.0,0.61
cat_trend,trend_down,65641,37.92,46.33,-44.05,25.0,-25.0,2.95
flag_hold_prev_low,break_prev_low,67749,37.25,44.36,-43.89,25.0,-25.0,1.65
time_bucket_15m,00:30-00:45,2073,37.24,39.1,-40.58,30.0,-25.0,0.52
flag_above_prev_day_close,below_prev_day_close,79253,37.19,47.38,-42.34,25.0,-25.0,4.59
time_bucket_15m,13:45-14:00,2070,37.15,37.36,-37.81,25.0,-25.0,2.07
time_bucket_15m,17:00-17:15,2073,37.05,38.53,-40.98,25.0,-30.0,-0.76
cat_prev_day_change,prev_big_up,32912,36.45,43.58,-44.71,25.0,-25.0,0.33
time_bucket_15m,13:00-13:15,2070,35.99,36.41,-38.56,25.0,-25.0,-1.25
weekday,Friday,33638,35.96,41.49,-43.18,25.0,-25.0,-0.59
flag_pullback_2bar,pullback_2bar,113034,35.72,42.9,-42.89,25.0,-25.0,1.14
time_bucket_15m,14:00-14:15,2070,35.56,38.0,-35.33,25.0,-25.0,2.62
cat_vol_ratio,vol_normal,41976,35.37,41.16,-42.3,25.0,-25.0,0.37
flag_hold_prev_high,break_prev_high,69976,35.24,40.81,-42.9,25.0,-25.0,-0.57
weekday,Thursday,33638,35.22,41.5,-43.03,25.0,-25.0,0.03
cat_dist_ma20,near_below,73115,34.91,41.53,-40.42,25.0,-25.0,2.05
flag_break_prev_high,break_prev_high,36968,34.82,40.24,-43.74,25.0,-25.0,-1.66
time_bucket_15m,00:45-01:00,2073,34.78,37.05,-40.16,25.0,-25.0,-0.51
weekday,Monday,32573,34.74,43.53,-43.25,25.0,-25.0,1.19
