pattern,signal_dt,entry_dt,exit_dt,entry_price,pnl_pt,pnl_yen,result,signal_hour,signal_weekday,signal_month,signal_year
A,2023-08-03 18:55:00,2023-08-03 19:00:00,2023-08-03 23:15:00,32475.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:00:00,2023-08-03 19:05:00,2023-08-03 23:15:00,32475.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:05:00,2023-08-03 19:10:00,2023-08-03 23:15:00,32475.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:10:00,2023-08-03 19:15:00,2023-08-03 23:10:00,32495.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:15:00,2023-08-03 19:20:00,2023-08-03 23:10:00,32495.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:20:00,2023-08-03 19:25:00,2023-08-03 23:10:00,32480.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:25:00,2023-08-03 19:30:00,2023-08-03 23:10:00,32495.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:30:00,2023-08-03 19:35:00,2023-08-03 23:10:00,32500.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:35:00,2023-08-03 19:40:00,2023-08-03 22:35:00,32535.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:40:00,2023-08-03 19:45:00,2023-08-03 22:30:00,32560.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:45:00,2023-08-03 19:50:00,2023-08-03 21:45:00,32570.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:50:00,2023-08-03 19:55:00,2023-08-03 22:35:00,32555.0,-62.2,-622.0,SL,19,3,8,2023
A,2023-08-03 19:55:00,2023-08-03 20:00:00,2023-08-03 21:45:00,32570.0,-62.2,-622.0,SL,20,3,8,2023
