日付,件数,日次損益円,日内最大DD円
2023-10-06,62,-38564,-37942
2025-12-15,54,-27588,-29966
2023-08-23,49,-29278,-28656
2025-03-12,47,-29234,-28612
2024-05-01,49,-21478,-27990
2025-06-19,40,-24430,-23808
2024-10-30,43,-23746,-23124
2024-08-21,38,-23636,-23014
2026-02-16,44,-21368,-22502
2025-05-07,42,-23124,-22502
2024-08-01,39,-21258,-22392
2024-05-17,51,3928,-22392
2025-09-29,37,-23014,-22392
2024-02-09,36,-22392,-21770
2023-12-11,36,-22392,-21770
2024-06-21,40,-20730,-21770
2024-12-18,54,-22288,-21666
2024-10-21,54,8412,-21148
2023-10-27,36,-19392,-21148
2024-01-26,38,-12536,-21148
2025-02-17,45,-21240,-20724
2025-12-11,36,-21242,-20620
2025-03-21,57,-20254,-20546
2026-02-12,38,-11636,-20526
2025-10-03,34,-21148,-20526
2023-09-22,38,-20736,-20114
2025-08-29,45,5710,-19904
2024-12-20,45,2010,-19904
2024-03-06,33,-20526,-19904
2026-02-23,48,15144,-19904
2023-08-16,46,4588,-19098
2025-04-17,31,-19282,-18660
2025-05-21,33,-14526,-18660
2025-05-22,31,-19282,-18660
2023-10-23,38,-13886,-18654
2024-04-11,32,-16254,-18632
2024-02-15,35,-16020,-18482
2024-09-30,35,-15770,-18148
2024-08-29,33,-17526,-18038
2023-08-03,39,-258,-18038
2024-06-05,30,-18660,-18038
2025-02-07,55,-10060,-17706
2023-09-13,31,-18282,-17660
2024-05-09,45,210,-17460
2025-06-06,29,-18038,-17416
2023-09-27,29,-18038,-17416
2025-10-30,29,-18038,-17416
2024-06-17,33,-7726,-17416
2023-10-18,29,-18038,-17416
2025-10-16,29,-18038,-17416
2024-06-07,31,-17682,-17060
2026-01-16,41,-10502,-17014
2024-01-10,33,-17526,-16904
2024-12-06,28,-15516,-16794
2023-08-25,57,41796,-16794
2025-01-08,28,-17416,-16794
2024-01-12,28,-17416,-16794
2025-01-30,28,-17416,-16794
2025-01-06,28,-17416,-16794
2026-01-30,28,-17416,-16794
2025-05-09,54,-15838,-16294
2026-03-13,56,-4832,-16282
2026-02-02,44,-368,-16172
2024-03-07,27,-16794,-16172
2025-10-29,27,-16794,-16172
2025-05-12,27,-16794,-16172
2024-09-11,62,30436,-16172
2025-10-13,39,5742,-16172
2023-08-09,58,-16526,-15904
2024-01-05,28,-16466,-15844
2025-12-24,32,-16304,-15682
2024-09-04,55,40790,-15550
2024-02-22,26,-15272,-15550
2025-10-08,39,-9008,-15550
2025-04-16,39,17742,-15550
2024-04-22,26,-16172,-15550
2026-01-07,41,11398,-15550
2024-03-29,26,-15472,-15550
2023-10-16,34,1802,-15550
2024-08-30,26,-16172,-15550
2025-02-10,30,-15960,-15338
2024-02-07,30,-8160,-15294
2026-03-30,42,-8124,-15038
2026-03-26,45,14010,-15038
2025-09-25,35,180,-14966
2025-02-26,25,-15550,-14928
2025-10-23,29,-9038,-14928
2024-12-13,47,13166,-14928
2025-04-04,55,16790,-14928
2025-06-13,32,-854,-14928
2023-12-29,31,-15332,-14710
2023-12-14,51,41378,-14450
2024-04-18,29,-15038,-14416
2024-08-22,25,-12550,-14306
2024-03-18,24,-14178,-14306
2025-06-05,53,25234,-14306
2026-01-05,26,-13172,-14306
2024-01-04,39,10992,-14306
2023-10-20,33,6474,-14306
2024-02-02,39,19392,-14306
2025-02-14,26,-14522,-14306
2025-03-06,54,11412,-14306
2026-04-15,33,-5526,-14306
2024-02-05,24,-14928,-14306
2025-10-01,35,-14770,-14148
2024-03-04,44,-14568,-14088
2023-10-05,33,-14526,-13904
2025-03-19,67,11076,-13822
2024-02-12,28,-14416,-13794
2025-05-19,34,-1998,-13794
2024-03-08,28,-14416,-13794
2024-01-17,42,9876,-13794
2025-03-07,48,-8256,-13706
2024-09-18,26,-4172,-13684
2024-12-30,33,9474,-13684
2024-06-12,34,-748,-13684
2025-06-26,23,-14306,-13684
2025-08-22,23,-13456,-13684
2025-12-25,23,-14306,-13684
2026-04-06,56,7168,-13684
2026-01-29,33,3474,-13684
2025-03-24,23,-14306,-13684
2024-09-05,42,9876,-13684
2023-09-28,44,11432,-13678
2023-08-10,26,-13072,-13250
2026-03-23,52,-8344,-13172
2025-01-24,28,-9266,-13062
2024-02-23,26,-5872,-13062
2024-09-26,22,-13684,-13062
2026-03-20,28,-5416,-13062
2024-02-26,30,8340,-13062
2025-03-27,35,8230,-13062
2024-10-18,35,-12320,-13062
2026-02-19,36,-13392,-12770
2025-01-17,29,-11288,-12616
2025-01-29,26,-13172,-12550
2025-01-15,47,-11234,-12484
2025-10-27,21,-13062,-12440
2026-02-13,35,2230,-12440
2024-03-20,43,18254,-12440
