month,n,win_rate,pnl
2023-08,3,33.33333333333333,9
2023-12,3,33.33333333333333,-16
2024-02,2,0.0,-124
2024-03,1,100.0,53
2024-05,1,100.0,8
2024-06,2,50.0,96
2024-07,1,0.0,-62
2024-08,2,50.0,36
2024-09,1,0.0,-62
2024-10,2,50.0,-49
2024-12,3,33.33333333333333,-26
2025-01,2,50.0,81
2025-02,1,100.0,13
2025-03,1,0.0,-62
2025-04,3,66.66666666666666,134
2025-05,2,0.0,-124
2025-06,1,100.0,98
2025-07,1,100.0,98
2025-08,3,0.0,-151
2025-10,6,50.0,108
2025-11,5,40.0,-85
2026-01,5,60.0,170
2026-02,2,50.0,36
2026-03,4,75.0,232
