combo,n,down_count,not_down_count,up_count,down_rate_pct,not_down_rate_pct,up_rate_pct,base_down_rate_pct,edge_down_pct,avg_down_move,median_down_move
close_down_big,3332,1977,1355,2040,59.33,40.67,61.22,27.2,32.13,-74.29,-50.0
close_up_big,3089,1820,1269,1803,58.92,41.08,58.37,27.2,31.72,-75.24,-50.0
roc3_ge_0_3,5146,2736,2410,2712,53.17,46.83,52.7,27.2,25.97,-64.07,-40.0
roc3_ge_0_5,2297,1192,1105,1110,51.89,48.11,48.32,27.2,24.69,-67.69,-40.0
far_below_ma5,2804,1450,1354,1562,51.71,48.29,55.71,27.2,24.51,-70.02,-40.0
far_above_ma5,2530,1308,1222,1229,51.7,48.3,48.58,27.2,24.5,-67.84,-40.0
far_below_ma10,4414,2206,2208,2298,49.98,50.02,52.06,27.2,22.78,-65.18,-35.0
roc5_ge_0_5,4125,2041,2084,1909,49.48,50.52,46.28,27.2,22.28,-62.3,-35.0
hour_9_10,16531,8003,8528,7942,48.41,51.59,48.04,27.2,21.21,-49.18,-35.0
far_above_ma10,4086,1946,2140,1808,47.63,52.37,44.25,27.2,20.43,-60.57,-35.0
far_below_ma20,7063,3309,3754,3510,46.85,53.15,49.7,27.2,19.65,-58.92,-35.0
roc5_ge_1_0,1611,735,876,697,45.62,54.38,43.27,27.2,18.42,-62.65,-30.0
far_above_ma20,6548,2866,3682,2616,43.77,56.23,39.95,27.2,16.57,-53.29,-30.0
far_below_ma50,8873,3874,4999,4036,43.66,56.34,45.49,27.2,16.46,-53.36,-30.0
vol_ratio20_ge_2_0,13833,5992,7841,6091,43.32,56.68,44.03,27.2,16.12,-50.77,-30.0
bb_upper_3_touch,1063,452,611,438,42.52,57.48,41.2,27.2,15.32,-51.04,-30.0
bb_lower_3_touch,1153,489,664,531,42.41,57.59,46.05,27.2,15.21,-49.74,-30.0
vol_ratio20_ge_1_5,26122,10006,16116,10120,38.3,61.7,38.74,27.2,11.11,-44.78,-25.0
atr_high,32496,12446,20050,12309,38.3,61.7,37.88,27.2,11.1,-42.15,-25.0
