system,signal_dt,entry_dt,exit_dt,entry_price,pnl_pt,pnl_yen,result,signal_hour,signal_weekday,signal_month,signal_year
①,2023-07-24 11:55:00,2023-07-24 12:00:00,2023-07-24 12:40:00,32770.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 12:00:00,2023-07-24 12:05:00,2023-07-24 12:35:00,32780.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 12:05:00,2023-07-24 12:10:00,2023-07-24 12:35:00,32780.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 12:10:00,2023-07-24 12:15:00,2023-07-24 12:35:00,32800.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 12:15:00,2023-07-24 12:20:00,2023-07-24 12:35:00,32800.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 12:20:00,2023-07-24 12:25:00,2023-07-24 12:35:00,32805.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 12:25:00,2023-07-24 12:30:00,2023-07-24 12:35:00,32780.0,-62.2,-622.0,SL,12,0,7,2023
①,2023-07-24 17:55:00,2023-07-24 18:00:00,2023-07-24 18:30:00,32710.0,-62.2,-622.0,SL,18,0,7,2023
①,2023-07-24 18:00:00,2023-07-24 18:05:00,2023-07-24 18:40:00,32705.0,-62.2,-622.0,SL,18,0,7,2023
①,2023-07-24 18:05:00,2023-07-24 18:10:00,2023-07-24 23:50:00,32690.0,17.8,178.0,SESSION,18,0,7,2023
①,2023-07-24 21:20:00,2023-07-24 21:25:00,2023-07-24 23:50:00,32675.0,32.8,328.0,SESSION,21,0,7,2023
①,2023-07-24 21:35:00,2023-07-24 21:40:00,2023-07-24 23:50:00,32665.0,42.8,428.0,SESSION,21,0,7,2023
①,2023-07-24 23:50:00,2023-07-24 23:55:00,2023-07-25 00:00:00,32710.0,-62.2,-622.0,SL,23,0,7,2023
①,2023-07-25 08:45:00,2023-07-25 08:50:00,2023-07-25 09:00:00,32695.0,-62.2,-622.0,SL,8,1,7,2023
①,2023-07-25 14:55:00,2023-07-25 15:00:00,2023-07-25 20:00:00,32635.0,-62.2,-622.0,SL,15,1,7,2023
①,2023-07-25 15:00:00,2023-07-25 15:05:00,2023-07-25 20:00:00,32630.0,-62.2,-622.0,SL,15,1,7,2023
①,2023-07-25 15:05:00,2023-07-25 15:10:00,2023-07-25 20:00:00,32625.0,-62.2,-622.0,SL,15,1,7,2023
①,2023-07-25 15:10:00,2023-07-25 15:15:00,2023-07-25 21:10:00,32610.0,-62.2,-622.0,SL,15,1,7,2023
①,2023-07-25 15:15:00,2023-07-25 16:30:00,2023-07-25 20:00:00,32640.0,-62.2,-622.0,SL,15,1,7,2023
