side,entry_time,exit_time,entry,exit,pnl,result,date,month,weekday,hour_jst
long,2025-12-29 03:45:00+00:00,2025-12-29 03:45:00+00:00,43630.0,43530.0,-100.0,SL,2025-12-29,2025-12,Monday,12
long,2025-12-30 04:20:00+00:00,2025-12-30 04:35:00+00:00,43380.0,43400.0,20.0,TIME,2025-12-30,2025-12,Tuesday,13
long,2026-01-05 04:30:00+00:00,2026-01-05 04:45:00+00:00,45540.0,45690.0,150.0,TIME,2026-01-05,2026-01,Monday,13
long,2026-01-05 04:35:00+00:00,2026-01-05 04:50:00+00:00,45640.0,45700.0,60.0,TIME,2026-01-05,2026-01,Monday,13
long,2026-01-05 04:40:00+00:00,2026-01-05 04:55:00+00:00,45690.0,45710.0,20.0,TIME,2026-01-05,2026-01,Monday,13
long,2026-01-05 04:45:00+00:00,2026-01-05 05:00:00+00:00,45710.0,45780.0,70.0,TIME,2026-01-05,2026-01,Monday,13
long,2026-01-05 05:05:00+00:00,2026-01-05 05:20:00+00:00,45780.0,45770.0,-10.0,TIME,2026-01-05,2026-01,Monday,14
long,2026-01-06 01:25:00+00:00,2026-01-06 01:40:00+00:00,46280.0,46440.0,160.0,TIME,2026-01-06,2026-01,Tuesday,10
long,2026-01-06 01:40:00+00:00,2026-01-06 01:55:00+00:00,46430.0,46450.0,20.0,TIME,2026-01-06,2026-01,Tuesday,10
long,2026-01-09 00:15:00+00:00,2026-01-09 00:15:00+00:00,45270.0,45170.0,-100.0,SL,2026-01-09,2026-01,Friday,9
long,2026-01-09 02:05:00+00:00,2026-01-09 02:20:00+00:00,45190.0,45240.0,50.0,TIME,2026-01-09,2026-01,Friday,11
long,2026-01-09 02:10:00+00:00,2026-01-09 02:25:00+00:00,45200.0,45340.0,140.0,TIME,2026-01-09,2026-01,Friday,11
long,2026-01-09 02:30:00+00:00,2026-01-09 03:40:00+00:00,45350.0,45360.0,10.0,TIME,2026-01-09,2026-01,Friday,11
long,2026-01-09 04:10:00+00:00,2026-01-09 04:25:00+00:00,45510.0,45530.0,20.0,TIME,2026-01-09,2026-01,Friday,13
long,2026-01-09 05:10:00+00:00,2026-01-09 05:25:00+00:00,45670.0,45740.0,70.0,TIME,2026-01-09,2026-01,Friday,14
long,2026-01-09 05:30:00+00:00,2026-01-09 05:45:00+00:00,45740.0,45650.0,-90.0,TIME,2026-01-09,2026-01,Friday,14
long,2026-01-13 00:40:00+00:00,2026-01-13 00:50:00+00:00,48940.0,48840.0,-100.0,SL,2026-01-13,2026-01,Tuesday,9
long,2026-01-13 00:45:00+00:00,2026-01-13 00:50:00+00:00,49010.0,48910.0,-100.0,SL,2026-01-13,2026-01,Tuesday,9
long,2026-01-14 00:10:00+00:00,2026-01-14 00:10:00+00:00,49270.0,49520.0,250.0,TP,2026-01-14,2026-01,Wednesday,9
long,2026-01-14 00:15:00+00:00,2026-01-14 00:15:00+00:00,49610.0,49510.0,-100.0,SL,2026-01-14,2026-01,Wednesday,9
long,2026-01-14 00:40:00+00:00,2026-01-14 00:45:00+00:00,49910.0,49810.0,-100.0,SL,2026-01-14,2026-01,Wednesday,9
long,2026-01-14 01:05:00+00:00,2026-01-14 01:20:00+00:00,49980.0,50090.0,110.0,TIME,2026-01-14,2026-01,Wednesday,10
long,2026-01-14 01:10:00+00:00,2026-01-14 01:25:00+00:00,50090.0,50070.0,-20.0,TIME,2026-01-14,2026-01,Wednesday,10
long,2026-01-14 04:00:00+00:00,2026-01-14 04:15:00+00:00,50250.0,50220.0,-30.0,TIME,2026-01-14,2026-01,Wednesday,13
long,2026-01-19 02:20:00+00:00,2026-01-19 03:30:00+00:00,48250.0,48250.0,0.0,TIME,2026-01-19,2026-01,Monday,11
long,2026-01-19 02:25:00+00:00,2026-01-19 03:35:00+00:00,48300.0,48400.0,100.0,TIME,2026-01-19,2026-01,Monday,11
long,2026-01-19 06:10:00+00:00,2026-01-20 00:05:00+00:00,48640.0,48540.0,-100.0,SL,2026-01-19,2026-01,Monday,15
long,2026-01-20 05:10:00+00:00,2026-01-20 05:25:00+00:00,47600.0,47730.0,130.0,TIME,2026-01-20,2026-01,Tuesday,14
long,2026-01-21 05:10:00+00:00,2026-01-21 05:25:00+00:00,47160.0,47210.0,50.0,TIME,2026-01-21,2026-01,Wednesday,14
