side,entry_time,exit_time,entry,exit,pnl,result,date,month,weekday,hour
long,2025-12-29 03:45:00+00:00,2025-12-29 03:45:00+00:00,43630.0,43530.0,-100.0,SL,2025-12-29,2025-12,Monday,3
long,2025-12-29 04:20:00+00:00,2025-12-29 04:35:00+00:00,43690.0,43660.0,-30.0,TIME,2025-12-29,2025-12,Monday,4
long,2025-12-30 04:20:00+00:00,2025-12-30 04:35:00+00:00,43380.0,43400.0,20.0,TIME,2025-12-30,2025-12,Tuesday,4
long,2026-01-05 04:25:00+00:00,2026-01-05 04:40:00+00:00,45510.0,45710.0,200.0,TIME,2026-01-05,2026-01,Monday,4
long,2026-01-05 04:30:00+00:00,2026-01-05 04:45:00+00:00,45540.0,45690.0,150.0,TIME,2026-01-05,2026-01,Monday,4
long,2026-01-05 04:35:00+00:00,2026-01-05 04:50:00+00:00,45640.0,45700.0,60.0,TIME,2026-01-05,2026-01,Monday,4
long,2026-01-05 04:40:00+00:00,2026-01-05 04:55:00+00:00,45690.0,45710.0,20.0,TIME,2026-01-05,2026-01,Monday,4
long,2026-01-05 04:45:00+00:00,2026-01-05 05:00:00+00:00,45710.0,45780.0,70.0,TIME,2026-01-05,2026-01,Monday,4
long,2026-01-05 05:05:00+00:00,2026-01-05 05:20:00+00:00,45780.0,45770.0,-10.0,TIME,2026-01-05,2026-01,Monday,5
long,2026-01-06 01:25:00+00:00,2026-01-06 01:40:00+00:00,46280.0,46440.0,160.0,TIME,2026-01-06,2026-01,Tuesday,1
long,2026-01-06 01:40:00+00:00,2026-01-06 01:55:00+00:00,46430.0,46450.0,20.0,TIME,2026-01-06,2026-01,Tuesday,1
long,2026-01-06 04:05:00+00:00,2026-01-06 04:20:00+00:00,46410.0,46510.0,100.0,TIME,2026-01-06,2026-01,Tuesday,4
long,2026-01-06 04:45:00+00:00,2026-01-06 05:00:00+00:00,46620.0,46750.0,130.0,TIME,2026-01-06,2026-01,Tuesday,4
long,2026-01-06 05:05:00+00:00,2026-01-06 05:20:00+00:00,46750.0,46730.0,-20.0,TIME,2026-01-06,2026-01,Tuesday,5
long,2026-01-06 05:10:00+00:00,2026-01-06 05:25:00+00:00,46750.0,46670.0,-80.0,TIME,2026-01-06,2026-01,Tuesday,5
long,2026-01-06 05:15:00+00:00,2026-01-06 05:20:00+00:00,46840.0,46740.0,-100.0,SL,2026-01-06,2026-01,Tuesday,5
long,2026-01-06 06:10:00+00:00,2026-01-06 06:20:00+00:00,46810.0,46710.0,-100.0,SL,2026-01-06,2026-01,Tuesday,6
long,2026-01-08 02:05:00+00:00,2026-01-08 02:20:00+00:00,45460.0,45360.0,-100.0,SL,2026-01-08,2026-01,Thursday,2
long,2026-01-08 02:10:00+00:00,2026-01-08 02:15:00+00:00,45480.0,45380.0,-100.0,SL,2026-01-08,2026-01,Thursday,2
long,2026-01-09 00:15:00+00:00,2026-01-09 00:15:00+00:00,45270.0,45170.0,-100.0,SL,2026-01-09,2026-01,Friday,0
long,2026-01-09 02:05:00+00:00,2026-01-09 02:20:00+00:00,45190.0,45240.0,50.0,TIME,2026-01-09,2026-01,Friday,2
long,2026-01-09 02:10:00+00:00,2026-01-09 02:25:00+00:00,45200.0,45340.0,140.0,TIME,2026-01-09,2026-01,Friday,2
long,2026-01-09 02:30:00+00:00,2026-01-09 03:40:00+00:00,45350.0,45360.0,10.0,TIME,2026-01-09,2026-01,Friday,2
long,2026-01-09 04:10:00+00:00,2026-01-09 04:25:00+00:00,45510.0,45530.0,20.0,TIME,2026-01-09,2026-01,Friday,4
